2023-05-07T19:45:54.914Z | niHMo | desmond | 151
2023-05-07T19:45:54.930Z | niHMo | user0 | 111
2023-05-07T19:45:55.916Z | niHMo | desmond | 103
2023-05-07T19:45:55.931Z | niHMo | user0 | 103
2023-05-07T19:45:56.919Z | niHMo | desmond | 152
2023-05-07T19:45:56.934Z | niHMo | user0 | 112
2023-05-07T19:45:57.921Z | niHMo | desmond | 152
2023-05-07T19:45:57.935Z | niHMo | user0 | 112
2023-05-07T19:45:58.922Z | niHMo | desmond | 153
2023-05-07T19:45:58.938Z | niHMo | user0 | 113
2023-05-07T19:45:59.925Z | niHMo | desmond | 153
2023-05-07T19:45:59.941Z | niHMo | user0 | 114
2023-05-07T19:46:00.928Z | niHMo | desmond | 154
2023-05-07T19:46:00.946Z | niHMo | user0 | 115
2023-05-07T19:46:01.931Z | niHMo | desmond | 155
2023-05-07T19:46:01.948Z | niHMo | user0 | 115
2023-05-07T19:46:02.933Z | niHMo | desmond | 156
2023-05-07T19:46:02.951Z | niHMo | user0 | 116
2023-05-07T19:46:03.934Z | niHMo | desmond | 156
2023-05-07T19:46:03.952Z | niHMo | user0 | 116
2023-05-07T19:46:04.936Z | niHMo | desmond | 157
2023-05-07T19:46:04.955Z | niHMo | user0 | 117
2023-05-07T19:46:05.938Z | niHMo | desmond | 157
2023-05-07T19:46:05.957Z | niHMo | user0 | 118
2023-05-07T19:46:06.939Z | niHMo | desmond | 158
2023-05-07T19:46:06.959Z | niHMo | user0 | 118
2023-05-07T19:46:07.941Z | niHMo | desmond | 158
2023-05-07T19:46:07.960Z | niHMo | user0 | 119
2023-05-07T19:46:08.942Z | niHMo | desmond | 159
2023-05-07T19:46:08.964Z | niHMo | user0 | 120
2023-05-07T19:46:09.945Z | niHMo | desmond | 160
2023-05-07T19:46:09.966Z | niHMo | user0 | 120
2023-05-07T19:46:10.947Z | niHMo | desmond | 160
2023-05-07T19:46:10.968Z | niHMo | user0 | 121
2023-05-07T19:46:11.950Z | niHMo | desmond | 160
2023-05-07T19:46:11.970Z | niHMo | user0 | 121
2023-05-07T19:46:12.952Z | niHMo | desmond | 161
2023-05-07T19:46:12.971Z | niHMo | user0 | 122
2023-05-07T19:46:13.953Z | niHMo | desmond | 162
2023-05-07T19:46:13.973Z | niHMo | user0 | 122
2023-05-07T19:46:14.955Z | niHMo | desmond | 162
2023-05-07T19:46:14.976Z | niHMo | user0 | 123
2023-05-07T19:46:15.962Z | niHMo | desmond | 164
2023-05-07T19:46:15.978Z | niHMo | user0 | 124
2023-05-07T19:46:16.987Z | niHMo | user0 | 117
2023-05-07T19:46:28.085Z | niHMo | desmond | 163
2023-05-07T19:46:28.101Z | niHMo | user0 | 124
2023-05-07T19:46:29.087Z | niHMo | desmond | 117
2023-05-07T19:46:29.103Z | niHMo | user0 | 117
2023-05-07T19:46:30.088Z | niHMo | desmond | 165
2023-05-07T19:46:30.104Z | niHMo | user0 | 125
2023-05-07T19:46:31.090Z | niHMo | desmond | 164
2023-05-07T19:46:31.109Z | niHMo | user0 | 126
2023-05-07T19:46:32.092Z | niHMo | desmond | 166
2023-05-07T19:46:32.110Z | niHMo | user0 | 126
2023-05-07T19:46:33.094Z | niHMo | desmond | 165
2023-05-07T19:46:33.112Z | niHMo | user0 | 127
2023-05-07T19:46:34.096Z | niHMo | desmond | 167
2023-05-07T19:46:34.114Z | niHMo | user0 | 127
2023-05-07T19:46:35.099Z | niHMo | desmond | 166
2023-05-07T19:46:35.116Z | niHMo | user0 | 128
2023-05-07T19:46:36.101Z | niHMo | desmond | 168
2023-05-07T19:46:36.118Z | niHMo | user0 | 128
2023-05-07T19:46:37.104Z | niHMo | desmond | 167
2023-05-07T19:46:37.120Z | niHMo | user0 | 129
2023-05-07T19:46:38.105Z | niHMo | desmond | 169
2023-05-07T19:46:38.123Z | niHMo | user0 | 130
2023-05-07T19:46:39.107Z | niHMo | desmond | 168
2023-05-07T19:46:39.125Z | niHMo | user0 | 130
2023-05-07T19:46:40.109Z | niHMo | desmond | 170
2023-05-07T19:46:40.126Z | niHMo | user0 | 131
2023-05-07T19:46:41.110Z | niHMo | desmond | 169
2023-05-07T19:46:41.129Z | niHMo | user0 | 131
2023-05-07T19:46:42.112Z | niHMo | desmond | 171
2023-05-07T19:46:42.133Z | niHMo | user0 | 133
2023-05-07T19:46:43.114Z | niHMo | desmond | 170
2023-05-07T19:46:43.136Z | niHMo | user0 | 133
2023-05-07T19:46:44.115Z | niHMo | desmond | 172
2023-05-07T19:46:44.137Z | niHMo | user0 | 134
2023-05-07T19:46:45.117Z | niHMo | desmond | 171
2023-05-07T19:46:45.141Z | niHMo | user0 | 134
2023-05-07T19:46:46.119Z | niHMo | desmond | 173
2023-05-07T19:46:46.143Z | niHMo | user0 | 135
2023-05-07T19:46:47.122Z | niHMo | desmond | 172
2023-05-07T19:46:47.148Z | niHMo | user0 | 135
2023-05-07T19:46:48.130Z | niHMo | desmond | 174
2023-05-07T19:46:48.162Z | niHMo | user0 | 136
2023-05-07T19:46:59.191Z | niHMo | desmond | 174
2023-05-07T19:46:59.224Z | niHMo | user0 | 136
2023-05-07T19:47:00.193Z | niHMo | desmond | 129
2023-05-07T19:47:00.225Z | niHMo | user0 | 128
2023-05-07T19:47:01.195Z | niHMo | desmond | 175
2023-05-07T19:47:01.227Z | niHMo | user0 | 136
2023-05-07T19:47:02.197Z | niHMo | desmond | 174
2023-05-07T19:47:02.228Z | niHMo | user0 | 137
2023-05-07T19:47:03.199Z | niHMo | desmond | 176
2023-05-07T19:47:03.229Z | niHMo | user0 | 137
2023-05-07T19:47:04.201Z | niHMo | desmond | 175
2023-05-07T19:47:04.231Z | niHMo | user0 | 138
2023-05-07T19:47:05.204Z | niHMo | desmond | 175
2023-05-07T19:47:05.233Z | niHMo | user0 | 138
2023-05-07T19:47:06.205Z | niHMo | desmond | 176
2023-05-07T19:47:06.236Z | niHMo | user0 | 139
2023-05-07T19:47:07.208Z | niHMo | desmond | 177
2023-05-07T19:47:07.238Z | niHMo | user0 | 139
2023-05-07T19:47:08.210Z | niHMo | desmond | 177
2023-05-07T19:47:08.240Z | niHMo | user0 | 140
2023-05-07T19:47:09.211Z | niHMo | desmond | 178
2023-05-07T19:47:09.243Z | niHMo | user0 | 140
2023-05-07T19:47:10.213Z | niHMo | desmond | 178
2023-05-07T19:47:10.246Z | niHMo | user0 | 141
2023-05-07T19:47:11.221Z | niHMo | desmond | 179
2023-05-07T19:47:11.247Z | niHMo | user0 | 141
2023-05-07T19:47:12.251Z | niHMo | user0 | 136
2023-05-07T19:47:23.319Z | niHMo | desmond | 179
2023-05-07T19:47:23.336Z | niHMo | user0 | 142
2023-05-07T19:47:24.321Z | niHMo | desmond | 155
2023-05-07T19:47:24.338Z | niHMo | user0 | 142
2023-05-07T19:47:25.323Z | niHMo | desmond | 180
2023-05-07T19:47:25.340Z | niHMo | user0 | 142
2023-05-07T19:47:26.326Z | niHMo | desmond | 180
2023-05-07T19:47:26.341Z | niHMo | user0 | 143
2023-05-07T19:47:27.329Z | niHMo | desmond | 181
2023-05-07T19:47:27.342Z | niHMo | user0 | 146
2023-05-07T19:47:28.331Z | niHMo | desmond | 181
2023-05-07T19:47:28.343Z | niHMo | user0 | 153
2023-05-07T19:47:29.332Z | niHMo | desmond | 182
2023-05-07T19:47:29.344Z | niHMo | user0 | 159
2023-05-07T19:47:30.334Z | niHMo | desmond | 182
2023-05-07T19:47:30.345Z | niHMo | user0 | 163
2023-05-07T19:47:31.336Z | niHMo | desmond | 183
2023-05-07T19:47:31.346Z | niHMo | user0 | 169
2023-05-07T19:47:32.339Z | niHMo | desmond | 182
2023-05-07T19:47:32.348Z | niHMo | user0 | 175
2023-05-07T19:47:33.340Z | niHMo | desmond | 184
2023-05-07T19:47:33.349Z | niHMo | user0 | 181
2023-05-07T19:47:34.342Z | niHMo | desmond | 183
2023-05-07T19:47:34.350Z | niHMo | user0 | 183
2023-05-07T19:47:35.343Z | niHMo | desmond | 184
2023-05-07T19:47:35.352Z | niHMo | user0 | 184
2023-05-07T19:47:36.359Z | niHMo | user0 | 184
2023-05-07T19:47:36.358Z | niHMo | desmond | 184
2023-05-07T19:47:37.378Z | niHMo | user0 | 177
2023-05-07T19:47:47.476Z | niHMo | user0 | 185
2023-05-07T19:47:48.413Z | niHMo | desmond | 185
2023-05-07T19:47:48.477Z | niHMo | user0 | 141
2023-05-07T19:47:49.416Z | niHMo | desmond | 179
2023-05-07T19:47:49.480Z | niHMo | user0 | 185
2023-05-07T19:47:50.419Z | niHMo | desmond | 185
2023-05-07T19:47:50.481Z | niHMo | user0 | 185
2023-05-07T19:47:51.421Z | niHMo | desmond | 186
2023-05-07T19:47:51.484Z | niHMo | user0 | 186
2023-05-07T19:47:52.423Z | niHMo | desmond | 186
2023-05-07T19:47:52.485Z | niHMo | user0 | 186
2023-05-07T19:47:53.425Z | niHMo | desmond | 187
2023-05-07T19:47:53.487Z | niHMo | user0 | 187
2023-05-07T19:47:54.433Z | niHMo | desmond | 186
2023-05-07T19:47:54.488Z | niHMo | user0 | 186
2023-05-07T19:47:55.436Z | niHMo | desmond | 187
2023-05-07T19:47:55.490Z | niHMo | user0 | 187
2023-05-07T19:47:56.440Z | niHMo | desmond | 187
2023-05-07T19:47:56.491Z | niHMo | user0 | 187
2023-05-07T19:47:57.442Z | niHMo | desmond | 188
2023-05-07T19:47:57.492Z | niHMo | user0 | 188
2023-05-07T19:47:58.443Z | niHMo | desmond | 188
2023-05-07T19:47:58.494Z | niHMo | user0 | 188
2023-05-07T19:47:59.450Z | niHMo | desmond | 189
2023-05-07T19:47:59.497Z | niHMo | user0 | 189
2023-05-07T19:48:00.506Z | niHMo | user0 | 147
2023-05-07T19:48:10.548Z | niHMo | user0 | 189
2023-05-07T19:48:11.505Z | niHMo | desmond | 189
2023-05-07T19:48:11.550Z | niHMo | user0 | 147
2023-05-07T19:48:12.506Z | niHMo | desmond | 184
2023-05-07T19:48:12.551Z | niHMo | user0 | 190
2023-05-07T19:48:13.508Z | niHMo | desmond | 190
2023-05-07T19:48:13.552Z | niHMo | user0 | 190
2023-05-07T19:48:14.510Z | niHMo | desmond | 191
2023-05-07T19:48:14.555Z | niHMo | user0 | 189
2023-05-07T19:48:15.513Z | niHMo | desmond | 190
2023-05-07T19:48:15.563Z | niHMo | user0 | 190
2023-05-07T19:48:16.515Z | niHMo | desmond | 191
2023-05-07T19:48:16.565Z | niHMo | user0 | 191
2023-05-07T19:48:17.516Z | niHMo | desmond | 191
2023-05-07T19:48:17.566Z | niHMo | user0 | 191
2023-05-07T19:48:18.518Z | niHMo | desmond | 192
2023-05-07T19:48:18.568Z | niHMo | user0 | 191
2023-05-07T19:48:19.520Z | niHMo | desmond | 192
2023-05-07T19:48:19.570Z | niHMo | user0 | 192
2023-05-07T19:48:20.521Z | niHMo | desmond | 193
2023-05-07T19:48:20.573Z | niHMo | user0 | 193
2023-05-07T19:48:21.524Z | niHMo | desmond | 192
2023-05-07T19:48:21.574Z | niHMo | user0 | 192
2023-05-07T19:48:22.526Z | niHMo | desmond | 193
2023-05-07T19:48:22.577Z | niHMo | user0 | 192
2023-05-07T19:48:23.528Z | niHMo | desmond | 193
2023-05-07T19:48:23.579Z | niHMo | user0 | 193
2023-05-07T19:48:24.530Z | niHMo | desmond | 194
2023-05-07T19:48:24.580Z | niHMo | user0 | 193
2023-05-07T19:48:25.545Z | niHMo | desmond | 194
2023-05-07T19:48:25.586Z | niHMo | user0 | 194
2023-05-07T19:48:26.587Z | niHMo | user0 | 170
2023-05-07T19:48:37.641Z | niHMo | desmond | 194
2023-05-07T19:48:37.672Z | niHMo | user0 | 194
2023-05-07T19:48:38.643Z | niHMo | desmond | 153
2023-05-07T19:48:38.678Z | niHMo | user0 | 153
2023-05-07T19:48:39.645Z | niHMo | desmond | 195
2023-05-07T19:48:39.681Z | niHMo | user0 | 195
2023-05-07T19:48:40.647Z | niHMo | desmond | 194
2023-05-07T19:48:40.683Z | niHMo | user0 | 194
2023-05-07T19:48:41.650Z | niHMo | desmond | 195
2023-05-07T19:48:41.685Z | niHMo | user0 | 195
2023-05-07T19:48:42.652Z | niHMo | desmond | 195
2023-05-07T19:48:42.687Z | niHMo | user0 | 195
2023-05-07T19:48:43.655Z | niHMo | desmond | 196
2023-05-07T19:48:43.688Z | niHMo | user0 | 196
2023-05-07T19:48:44.656Z | niHMo | desmond | 196
2023-05-07T19:48:44.690Z | niHMo | user0 | 196
2023-05-07T19:48:45.658Z | niHMo | desmond | 197
2023-05-07T19:48:45.692Z | niHMo | user0 | 197
2023-05-07T19:48:46.661Z | niHMo | desmond | 196
2023-05-07T19:48:46.693Z | niHMo | user0 | 196
2023-05-07T19:48:47.663Z | niHMo | desmond | 197
2023-05-07T19:48:47.694Z | niHMo | user0 | 197
2023-05-07T19:48:48.665Z | niHMo | desmond | 198
2023-05-07T19:48:48.695Z | niHMo | user0 | 197
2023-05-07T19:48:49.666Z | niHMo | desmond | 198
2023-05-07T19:48:49.699Z | niHMo | user0 | 198
2023-05-07T19:48:50.668Z | niHMo | desmond | 198
2023-05-07T19:48:50.701Z | niHMo | user0 | 198
2023-05-07T19:48:51.669Z | niHMo | desmond | 198
2023-05-07T19:48:51.702Z | niHMo | user0 | 198
2023-05-07T19:48:52.671Z | niHMo | desmond | 198
2023-05-07T19:48:52.703Z | niHMo | user0 | 198
2023-05-07T19:48:53.674Z | niHMo | desmond | 199
2023-05-07T19:48:53.706Z | niHMo | user0 | 199
2023-05-07T19:49:04.762Z | niHMo | desmond | 199
2023-05-07T19:49:04.787Z | niHMo | user0 | 199
2023-05-07T19:49:05.764Z | niHMo | desmond | 188
2023-05-07T19:49:05.790Z | niHMo | user0 | 190
2023-05-07T19:49:06.766Z | niHMo | desmond | 200
2023-05-07T19:49:06.797Z | niHMo | user0 | 200
2023-05-07T19:49:07.768Z | niHMo | desmond | 200
2023-05-07T19:49:07.799Z | niHMo | user0 | 199
2023-05-07T19:49:08.769Z | niHMo | desmond | 200
2023-05-07T19:49:08.800Z | niHMo | user0 | 200
2023-05-07T19:49:09.771Z | niHMo | desmond | 200
