2023-05-07T19:51:35.146Z | kPaGU | desmond | 0
2023-05-07T19:51:36.149Z | kPaGU | desmond | 18
2023-05-07T19:51:37.152Z | kPaGU | desmond | 36
2023-05-07T19:54:12.244Z | kPaGU | user1 | 0
2023-05-07T19:54:12.422Z | kPaGU | user3 | 0
2023-05-07T19:54:12.766Z | kPaGU | user5 | 0
2023-05-07T19:54:12.006Z | kPaGU | user0 | 0
2023-05-07T19:54:13.111Z | kPaGU | user2 | 0
2023-05-07T19:54:13.389Z | kPaGU | user4 | 0
2023-05-07T19:54:13.016Z | kPaGU | user0 | 32
2023-05-07T19:54:13.785Z | kPaGU | user5 | 46
2023-05-07T19:54:14.019Z | kPaGU | user0 | 40
2023-05-07T19:54:14.125Z | kPaGU | user2 | 42
2023-05-07T19:54:14.395Z | kPaGU | user4 | 40
2023-05-07T19:55:11.476Z | kPaGU | user0 | 60
2023-05-07T19:55:11.578Z | kPaGU | user2 | 60
2023-05-07T19:55:11.736Z | kPaGU | user1 | 60
2023-05-07T19:55:11.864Z | kPaGU | user4 | 60
2023-05-07T19:55:11.923Z | kPaGU | desmond | 60
2023-05-07T19:55:11.949Z | kPaGU | user3 | 60
2023-05-07T19:55:12.225Z | kPaGU | user5 | 60
2023-05-07T19:55:12.480Z | kPaGU | user0 | 4
2023-05-07T19:55:12.581Z | kPaGU | user2 | 4
2023-05-07T19:55:12.738Z | kPaGU | user1 | 4
2023-05-07T19:55:12.866Z | kPaGU | user4 | 4
2023-05-07T19:55:12.925Z | kPaGU | desmond | 18
2023-05-07T19:55:12.953Z | kPaGU | user3 | 8
2023-05-07T19:55:13.227Z | kPaGU | user5 | 26
2023-05-07T19:55:13.482Z | kPaGU | user0 | 54
2023-05-07T19:55:13.582Z | kPaGU | user2 | 61
2023-05-07T19:55:13.739Z | kPaGU | user1 | 61
2023-05-07T19:55:13.867Z | kPaGU | user4 | 61
2023-05-07T19:55:13.929Z | kPaGU | desmond | 61
2023-05-07T19:55:13.955Z | kPaGU | user3 | 61
2023-05-07T19:55:14.230Z | kPaGU | user5 | 61
2023-05-07T19:55:14.484Z | kPaGU | user0 | 62
2023-05-07T19:55:14.585Z | kPaGU | user2 | 63
2023-05-07T19:55:14.741Z | kPaGU | user1 | 62
2023-05-07T19:55:14.869Z | kPaGU | user4 | 62
2023-05-07T19:55:14.932Z | kPaGU | desmond | 63
2023-05-07T19:55:14.957Z | kPaGU | user3 | 62
2023-05-07T19:55:15.232Z | kPaGU | user5 | 63
2023-05-07T19:55:15.486Z | kPaGU | user0 | 63
2023-05-07T19:55:15.587Z | kPaGU | user2 | 63
2023-05-07T19:55:15.742Z | kPaGU | user1 | 63
2023-05-07T19:55:15.870Z | kPaGU | user4 | 63
2023-05-07T19:55:15.934Z | kPaGU | desmond | 63
2023-05-07T19:55:15.958Z | kPaGU | user3 | 63
2023-05-07T19:55:16.234Z | kPaGU | user5 | 63
2023-05-07T19:55:16.487Z | kPaGU | user0 | 64
2023-05-07T19:55:16.590Z | kPaGU | user2 | 64
2023-05-07T19:55:16.746Z | kPaGU | user1 | 64
2023-05-07T19:55:16.871Z | kPaGU | user4 | 64
2023-05-07T19:55:16.936Z | kPaGU | desmond | 65
2023-05-07T19:55:16.960Z | kPaGU | user3 | 64
2023-05-07T19:55:17.237Z | kPaGU | user5 | 65
2023-05-07T19:55:17.489Z | kPaGU | user0 | 65
2023-05-07T19:55:17.592Z | kPaGU | user2 | 65
2023-05-07T19:55:17.747Z | kPaGU | user1 | 65
2023-05-07T19:55:17.872Z | kPaGU | user4 | 65
2023-05-07T19:55:17.938Z | kPaGU | desmond | 65
2023-05-07T19:55:17.962Z | kPaGU | user3 | 65
2023-05-07T19:55:18.239Z | kPaGU | user5 | 65
2023-05-07T19:55:18.492Z | kPaGU | user0 | 66
2023-05-07T19:55:18.597Z | kPaGU | user2 | 67
2023-05-07T19:55:18.749Z | kPaGU | user1 | 67
2023-05-07T19:55:18.873Z | kPaGU | user4 | 67
2023-05-07T19:55:18.939Z | kPaGU | desmond | 67
2023-05-07T19:55:18.963Z | kPaGU | user3 | 67
2023-05-07T19:55:19.241Z | kPaGU | user5 | 67
2023-05-07T19:55:19.495Z | kPaGU | user0 | 67
2023-05-07T19:55:19.600Z | kPaGU | user2 | 67
2023-05-07T19:55:19.751Z | kPaGU | user1 | 67
2023-05-07T19:55:19.874Z | kPaGU | user4 | 67
2023-05-07T19:55:19.941Z | kPaGU | desmond | 67
2023-05-07T19:55:19.964Z | kPaGU | user3 | 67
2023-05-07T19:55:20.243Z | kPaGU | user5 | 67
2023-05-07T19:55:20.497Z | kPaGU | user0 | 67
2023-05-07T19:55:20.605Z | kPaGU | user2 | 67
2023-05-07T19:55:20.753Z | kPaGU | user1 | 69
2023-05-07T19:55:20.877Z | kPaGU | user4 | 67
2023-05-07T19:55:20.944Z | kPaGU | desmond | 69
2023-05-07T19:55:20.966Z | kPaGU | user3 | 69
2023-05-07T19:55:21.248Z | kPaGU | user5 | 69
2023-05-07T19:55:21.499Z | kPaGU | user0 | 69
2023-05-07T19:55:21.607Z | kPaGU | user2 | 69
2023-05-07T19:55:21.754Z | kPaGU | user1 | 69
2023-05-07T19:55:21.878Z | kPaGU | user4 | 69
2023-05-07T19:55:21.947Z | kPaGU | desmond | 69
2023-05-07T19:55:21.967Z | kPaGU | user3 | 69
