2023-05-07T20:02:03.254Z | zKSz3 | desmond | 0
2023-05-07T20:02:27.691Z | zKSz3 | user6 | 0
2023-05-07T20:02:27.654Z | zKSz3 | user2 | 0
2023-05-07T20:02:27.653Z | zKSz3 | user7 | 0
2023-05-07T20:02:27.739Z | zKSz3 | user1 | 0
2023-05-07T20:02:27.870Z | zKSz3 | user8 | 0
2023-05-07T20:02:28.659Z | zKSz3 | user2 | 28
2023-05-07T20:02:28.668Z | zKSz3 | user7 | 26
2023-05-07T20:02:28.752Z | zKSz3 | user1 | 34
2023-05-07T20:02:28.874Z | zKSz3 | user5 | 0
2023-05-07T20:02:28.874Z | zKSz3 | user8 | 30
2023-05-07T20:02:29.668Z | zKSz3 | user2 | 52
2023-05-07T20:02:29.891Z | zKSz3 | user5 | 58
2023-05-07T20:03:53.251Z | zKSz3 | user6 | 0
2023-05-07T20:03:53.721Z | zKSz3 | user8 | 0
2023-05-07T20:03:53.943Z | zKSz3 | user3 | 0
2023-05-07T20:03:54.029Z | zKSz3 | user7 | 0
2023-05-07T20:03:54.192Z | zKSz3 | user2 | 0
2023-05-07T20:03:54.261Z | zKSz3 | user6 | 16
2023-05-07T20:03:54.821Z | zKSz3 | user0 | 0
2023-05-07T20:03:54.950Z | zKSz3 | user3 | 32
2023-05-07T20:03:55.039Z | zKSz3 | user7 | 16
2023-05-07T20:03:55.205Z | zKSz3 | user2 | 26
2023-05-07T20:03:56.050Z | zKSz3 | user7 | 58
2023-05-07T20:03:57.074Z | zKSz3 | user9 | 0
2023-05-07T20:03:57.931Z | zKSz3 | user1 | 0
2023-05-07T20:05:37.492Z | lQB8L | desmond | 0
2023-05-07T20:05:49.753Z | lQB8L | user0 | 0
2023-05-07T20:05:49.730Z | lQB8L | user6 | 0
2023-05-07T20:05:50.743Z | lQB8L | user6 | 44
2023-05-07T20:05:50.760Z | lQB8L | user0 | 24
2023-05-07T20:05:51.030Z | lQB8L | user3 | 0
2023-05-07T20:05:51.544Z | lQB8L | user1 | 0
2023-05-07T20:05:51.995Z | lQB8L | user9 | 0
2023-05-07T20:05:52.052Z | lQB8L | user3 | 56
2023-05-07T20:05:52.008Z | lQB8L | user2 | 0
2023-05-07T20:05:52.217Z | lQB8L | user5 | 0
2023-05-07T20:05:52.548Z | lQB8L | user1 | 22
2023-05-07T20:05:53.234Z | lQB8L | user5 | 40
2023-05-07T20:05:53.020Z | lQB8L | user2 | 42
2023-05-07T20:05:53.003Z | lQB8L | user9 | 32
2023-05-07T20:05:53.558Z | lQB8L | user1 | 46
2023-05-07T20:05:54.028Z | lQB8L | user2 | 46
2023-05-07T20:05:55.153Z | lQB8L | user8 | 0
2023-05-07T20:05:56.612Z | lQB8L | user1 | 60
2023-05-07T20:05:56.805Z | lQB8L | user0 | 60
2023-05-07T20:05:56.799Z | lQB8L | desmond | 60
2023-05-07T20:05:56.805Z | lQB8L | user6 | 60
2023-05-07T20:05:57.028Z | lQB8L | user9 | 60
2023-05-07T20:05:57.041Z | lQB8L | user2 | 60
2023-05-07T20:05:57.087Z | lQB8L | user3 | 60
2023-05-07T20:05:57.163Z | lQB8L | user8 | 60
2023-05-07T20:05:57.258Z | lQB8L | user5 | 60
2023-05-07T20:05:57.616Z | lQB8L | user1 | 4
2023-05-07T20:05:57.801Z | lQB8L | desmond | 4
2023-05-07T20:05:57.807Z | lQB8L | user0 | 4
2023-05-07T20:05:57.807Z | lQB8L | user6 | 4
2023-05-07T20:05:58.030Z | lQB8L | user9 | 4
2023-05-07T20:05:58.047Z | lQB8L | user2 | 4
2023-05-07T20:05:58.090Z | lQB8L | user3 | 4
2023-05-07T20:05:58.166Z | lQB8L | user8 | 4
2023-05-07T20:05:58.263Z | lQB8L | user5 | 10
2023-05-07T20:05:58.622Z | lQB8L | user1 | 32
2023-05-07T20:05:58.804Z | lQB8L | desmond | 61
2023-05-07T20:05:58.810Z | lQB8L | user0 | 30
2023-05-07T20:05:58.812Z | lQB8L | user6 | 42
2023-05-07T20:05:59.031Z | lQB8L | user9 | 61
2023-05-07T20:05:59.050Z | lQB8L | user2 | 50
2023-05-07T20:05:59.102Z | lQB8L | user3 | 61
2023-05-07T20:05:59.168Z | lQB8L | user8 | 58
2023-05-07T20:05:59.219Z | lQB8L | user4 | 0
2023-05-07T20:05:59.268Z | lQB8L | user5 | 61
2023-05-07T20:05:59.624Z | lQB8L | user1 | 62
2023-05-07T20:05:59.806Z | lQB8L | desmond | 62
2023-05-07T20:05:59.813Z | lQB8L | user0 | 62
2023-05-07T20:05:59.816Z | lQB8L | user6 | 62
2023-05-07T20:06:00.034Z | lQB8L | user9 | 63
