2023-05-07T20:21:50.750Z | C6c6I | desmond | 0
2023-05-07T20:22:43.785Z | C6c6I | user1 | 0
2023-05-07T20:22:44.022Z | C6c6I | user9 | 0
2023-05-07T20:22:44.545Z | C6c6I | user4 | 0
2023-05-07T20:22:44.811Z | C6c6I | user1 | 44
2023-05-07T20:22:45.235Z | C6c6I | user5 | 0
2023-05-07T20:22:45.233Z | C6c6I | user10 | 0
2023-05-07T20:22:45.547Z | C6c6I | user4 | 42
2023-05-07T20:22:46.248Z | C6c6I | user10 | 58
2023-05-07T20:22:46.263Z | C6c6I | user5 | 26
2023-05-07T20:22:46.244Z | C6c6I | user3 | 0
2023-05-07T20:22:46.557Z | C6c6I | user4 | 46
2023-05-07T20:22:47.255Z | C6c6I | user3 | 44
2023-05-07T20:22:47.161Z | C6c6I | user2 | 0
2023-05-07T20:22:47.973Z | C6c6I | user12 | 0
2023-05-07T20:24:09.436Z | TT1HM | desmond | 0
2023-05-07T20:24:29.870Z | Fjfnu | mansi | 0
2023-05-07T20:24:50.803Z | Fjfnu | user5 | 0
2023-05-07T20:24:50.851Z | Fjfnu | user11 | 0
2023-05-07T20:24:51.369Z | Fjfnu | user0 | 0
2023-05-07T20:24:51.860Z | Fjfnu | user10 | 0
2023-05-07T20:24:51.947Z | Fjfnu | user11 | 42
2023-05-07T20:24:52.383Z | Fjfnu | user0 | 42
2023-05-07T20:24:52.385Z | Fjfnu | user2 | 0
2023-05-07T20:24:52.712Z | Fjfnu | user8 | 0
2023-05-07T20:24:52.870Z | Fjfnu | user10 | 36
2023-05-07T20:24:52.887Z | Fjfnu | user13 | 0
2023-05-07T20:24:53.390Z | Fjfnu | user0 | 56
2023-05-07T20:24:53.393Z | Fjfnu | user2 | 30
2023-05-07T20:24:53.876Z | Fjfnu | user10 | 46
2023-05-07T20:24:53.900Z | Fjfnu | user13 | 18
2023-05-07T20:24:54.402Z | Fjfnu | user2 | 34
2023-05-07T20:24:54.409Z | Fjfnu | user0 | 58
2023-05-07T20:24:54.880Z | Fjfnu | user10 | 48
2023-05-07T20:24:54.909Z | Fjfnu | user13 | 22
2023-05-07T20:24:55.446Z | Fjfnu | user2 | 40
2023-05-07T20:24:55.885Z | Fjfnu | user10 | 54
2023-05-07T20:24:55.950Z | Fjfnu | user13 | 26
