2023-05-07T19:51:35.147Z | kPaGU | desmond | 0
2023-05-07T19:51:36.150Z | kPaGU | desmond | 0
2023-05-07T19:51:37.152Z | kPaGU | desmond | 0
2023-05-07T19:54:12.245Z | kPaGU | user1 | 0
2023-05-07T19:54:12.423Z | kPaGU | user3 | 0
2023-05-07T19:54:12.766Z | kPaGU | user5 | 0
2023-05-07T19:54:12.007Z | kPaGU | user0 | 0
2023-05-07T19:54:13.112Z | kPaGU | user2 | 0
2023-05-07T19:54:13.390Z | kPaGU | user4 | 0
2023-05-07T19:54:13.016Z | kPaGU | user0 | 0
2023-05-07T19:54:13.788Z | kPaGU | user5 | 0
2023-05-07T19:54:14.019Z | kPaGU | user0 | 0
2023-05-07T19:54:14.125Z | kPaGU | user2 | 0
2023-05-07T19:54:14.395Z | kPaGU | user4 | 0
2023-05-07T19:55:11.477Z | kPaGU | user0 | 0.0002955740624116619
2023-05-07T19:55:11.579Z | kPaGU | user2 | 0.0002874019962427787
2023-05-07T19:55:11.736Z | kPaGU | user1 | 0.00026833234711207084
2023-05-07T19:55:11.865Z | kPaGU | user4 | 0.00022746980007415024
2023-05-07T19:55:11.924Z | kPaGU | desmond | 0.000016345074666528094
2023-05-07T19:55:11.950Z | kPaGU | user3 | 0.0002751427344478777
2023-05-07T19:55:12.225Z | kPaGU | user5 | 0.00024654333306917326
2023-05-07T19:55:12.481Z | kPaGU | user0 | 0.0002955740624116619
2023-05-07T19:55:12.581Z | kPaGU | user2 | 0.0002874019962427787
2023-05-07T19:55:12.738Z | kPaGU | user1 | 0.00026833234711207084
2023-05-07T19:55:12.867Z | kPaGU | user4 | 0.00022746980007415024
2023-05-07T19:55:12.926Z | kPaGU | desmond | 0.000016345074666528094
2023-05-07T19:55:12.953Z | kPaGU | user3 | 0.0002751427344478777
2023-05-07T19:55:13.228Z | kPaGU | user5 | 0.00024654333306917326
2023-05-07T19:55:13.483Z | kPaGU | user0 | 0.0002955740624116619
2023-05-07T19:55:13.583Z | kPaGU | user2 | 0.0002874019962427787
2023-05-07T19:55:13.739Z | kPaGU | user1 | 0.00026833234711207084
2023-05-07T19:55:13.868Z | kPaGU | user4 | 0.00022746980007415024
2023-05-07T19:55:13.930Z | kPaGU | desmond | 0.000016345074666528094
2023-05-07T19:55:13.955Z | kPaGU | user3 | 0.0002751427344478777
2023-05-07T19:55:14.230Z | kPaGU | user5 | 0.00024654333306917326
2023-05-07T19:55:14.485Z | kPaGU | user0 | 0.0002955740624116619
2023-05-07T19:55:14.586Z | kPaGU | user2 | 0.0002874019962427787
2023-05-07T19:55:14.742Z | kPaGU | user1 | 0.00026833234711207084
2023-05-07T19:55:14.869Z | kPaGU | user4 | 0.00022746980007415024
2023-05-07T19:55:14.932Z | kPaGU | desmond | 0.000016345074666528094
2023-05-07T19:55:14.958Z | kPaGU | user3 | 0.0002751427344478777
