2023-05-07T20:21:50.751Z | C6c6I | desmond | 0
2023-05-07T20:22:43.798Z | C6c6I | user1 | 0
2023-05-07T20:22:44.024Z | C6c6I | user9 | 0
2023-05-07T20:22:44.546Z | C6c6I | user4 | 0
2023-05-07T20:22:44.811Z | C6c6I | user1 | 0
2023-05-07T20:22:45.244Z | C6c6I | user5 | 0
2023-05-07T20:22:45.234Z | C6c6I | user10 | 0
2023-05-07T20:22:45.548Z | C6c6I | user4 | 0
2023-05-07T20:22:46.249Z | C6c6I | user10 | 0
2023-05-07T20:22:46.263Z | C6c6I | user5 | 0
2023-05-07T20:22:46.244Z | C6c6I | user3 | 0
2023-05-07T20:22:46.557Z | C6c6I | user4 | 0
2023-05-07T20:22:47.256Z | C6c6I | user3 | 0
2023-05-07T20:22:47.162Z | C6c6I | user2 | 0
2023-05-07T20:22:47.974Z | C6c6I | user12 | 0
2023-05-07T20:24:09.437Z | TT1HM | desmond | 0
2023-05-07T20:24:29.871Z | Fjfnu | mansi | 0
2023-05-07T20:24:50.804Z | Fjfnu | user5 | 0
2023-05-07T20:24:50.851Z | Fjfnu | user11 | 0
2023-05-07T20:24:51.371Z | Fjfnu | user0 | 0
2023-05-07T20:24:51.860Z | Fjfnu | user10 | 0
2023-05-07T20:24:51.948Z | Fjfnu | user11 | 0
2023-05-07T20:24:52.383Z | Fjfnu | user0 | 0
2023-05-07T20:24:52.386Z | Fjfnu | user2 | 0
2023-05-07T20:24:52.714Z | Fjfnu | user8 | 0
2023-05-07T20:24:52.873Z | Fjfnu | user10 | 0
2023-05-07T20:24:52.888Z | Fjfnu | user13 | 0
2023-05-07T20:24:53.390Z | Fjfnu | user0 | 0
2023-05-07T20:24:53.394Z | Fjfnu | user2 | 0
2023-05-07T20:24:53.876Z | Fjfnu | user10 | 0
2023-05-07T20:24:53.901Z | Fjfnu | user13 | 0
2023-05-07T20:24:54.402Z | Fjfnu | user2 | 0
2023-05-07T20:24:54.410Z | Fjfnu | user0 | 0
2023-05-07T20:24:54.881Z | Fjfnu | user10 | 0
2023-05-07T20:24:54.909Z | Fjfnu | user13 | 0
2023-05-07T20:24:55.446Z | Fjfnu | user2 | 0
2023-05-07T20:24:55.896Z | Fjfnu | user10 | 0
2023-05-07T20:24:55.950Z | Fjfnu | user13 | 0
2023-05-07T20:24:56.174Z | Fjfnu | user17 | 0
2023-05-07T20:24:56.462Z | Fjfnu | user2 | 0
2023-05-07T20:24:56.636Z | Fjfnu | user9 | 0
2023-05-07T20:24:56.722Z | Fjfnu | user18 | 0
2023-05-07T20:24:56.965Z | Fjfnu | user13 | 0
2023-05-07T20:24:57.185Z | Fjfnu | user17 | 0
2023-05-07T20:24:57.307Z | Fjfnu | user12 | 0
2023-05-07T20:24:57.644Z | Fjfnu | user9 | 0
2023-05-07T20:24:57.736Z | Fjfnu | user18 | 0
2023-05-07T20:24:57.974Z | Fjfnu | user13 | 0
2023-05-07T20:24:58.200Z | Fjfnu | user17 | 0
2023-05-07T20:24:58.612Z | Fjfnu | user6 | 0
2023-05-07T20:24:58.676Z | Fjfnu | user9 | 0
2023-05-07T20:24:58.984Z | Fjfnu | user19 | 0
2023-05-07T20:24:59.887Z | Fjfnu | user3 | 0
2023-05-07T20:25:00.003Z | Fjfnu | user19 | 0
2023-05-07T20:25:00.338Z | Fjfnu | user1 | 0
2023-05-07T20:25:00.897Z | Fjfnu | user3 | 0
2023-05-07T20:25:01.006Z | Fjfnu | user19 | 0
2023-05-07T20:25:02.406Z | Fjfnu | user4 | 0
2023-05-07T20:25:01.901Z | Fjfnu | user3 | 0
2023-05-07T20:25:03.905Z | Fjfnu | user3 | 0
2023-05-07T20:25:04.064Z | Fjfnu | user7 | 0
2023-05-07T20:25:04.918Z | Fjfnu | user3 | 0
2023-05-07T20:25:05.076Z | Fjfnu | user7 | 0
2023-05-07T20:25:06.080Z | Fjfnu | user7 | 0
2023-05-07T20:25:07.048Z | Fjfnu | user14 | 0
2023-05-07T20:25:07.122Z | Fjfnu | user7 | 0
2023-05-07T20:25:13.349Z | Fjfnu | mansi | 2293062.904348738
2023-05-07T20:25:13.625Z | Fjfnu | user2 | 0
2023-05-07T20:25:13.795Z | Fjfnu | user1 | 0.00007900139867481447
2023-05-07T20:25:14.303Z | Fjfnu | user9 | 0.0005979594862724922
2023-05-07T20:25:14.352Z | Fjfnu | mansi | 0.0002138487738593035
2023-05-07T20:25:14.213Z | Fjfnu | user13 | 0
2023-05-07T20:25:13.765Z | Fjfnu | user0 | 0
2023-05-07T20:25:14.166Z | Fjfnu | user14 | 0
2023-05-07T20:25:14.110Z | Fjfnu | user8 | 0
2023-05-07T20:25:14.234Z | Fjfnu | user6 | 0
2023-05-07T20:25:14.498Z | Fjfnu | user7 | 0.00010760888387888563
2023-05-07T20:25:14.549Z | Fjfnu | user10 | 0.00015391916454791487
2023-05-07T20:25:14.270Z | Fjfnu | user3 | 0
2023-05-07T20:25:14.552Z | Fjfnu | user4 | 0.0000980737444817173
2023-05-07T20:25:13.900Z | Fjfnu | user18 | 0
2023-05-07T20:25:14.633Z | Fjfnu | user2 | 0.00003132828875511489
2023-05-07T20:25:14.653Z | Fjfnu | user17 | 0.0007341670584392306
2023-05-07T20:25:14.664Z | Fjfnu | user12 | 0.0007723058793848636
2023-05-07T20:25:14.766Z | Fjfnu | user0 | 0.00009398406629554311
2023-05-07T20:25:14.367Z | Fjfnu | user11 | 0.00005448364975432566
2023-05-07T20:25:14.798Z | Fjfnu | user1 | 0.0008131701251402761
2023-05-07T20:25:14.902Z | Fjfnu | user18 | 0.00120136678763899
2023-05-07T20:25:14.419Z | Fjfnu | user5 | 0
2023-05-07T20:25:15.216Z | Fjfnu | user13 | 0.0000354144061549061
2023-05-07T20:25:15.287Z | Fjfnu | user14 | 0.000040862768929953865
2023-05-07T20:25:15.293Z | Fjfnu | user8 | 0.00003677662368177206
2023-05-07T20:25:15.353Z | Fjfnu | user3 | 0.00005039862588827578
2023-05-07T20:25:15.353Z | Fjfnu | mansi | 0.0002138487738593035
2023-05-07T20:25:15.426Z | Fjfnu | user5 | 0.000780479077917336
2023-05-07T20:25:15.365Z | Fjfnu | user9 | 0.000596729551757074
2023-05-07T20:25:15.237Z | Fjfnu | user6 | 0.00020569675164834069
2023-05-07T20:25:15.443Z | Fjfnu | user11 | 0.00004903559602474797
2023-05-07T20:25:15.511Z | Fjfnu | user7 | 0.0009139829853744715
