2023-05-07T19:45:54.449Z | niHMo | desmond | play
2023-05-07T19:45:54.465Z | niHMo | user0 | play
2023-05-07T19:46:15.796Z | niHMo | desmond | pause
2023-05-07T19:46:15.813Z | niHMo | user0 | pause
2023-05-07T19:46:27.616Z | niHMo | desmond | play
2023-05-07T19:46:27.636Z | niHMo | user0 | play
2023-05-07T19:46:47.217Z | niHMo | desmond | pause
2023-05-07T19:46:47.232Z | niHMo | user0 | pause
2023-05-07T19:46:58.819Z | niHMo | desmond | play
2023-05-07T19:46:58.836Z | niHMo | user0 | play
2023-05-07T19:47:10.694Z | niHMo | desmond | pause
2023-05-07T19:47:10.715Z | niHMo | user0 | pause
2023-05-07T19:47:22.524Z | niHMo | desmond | play
2023-05-07T19:47:22.543Z | niHMo | user0 | play
2023-05-07T19:47:35.516Z | niHMo | desmond | pause
2023-05-07T19:47:35.532Z | niHMo | user0 | pause
2023-05-07T19:47:47.438Z | niHMo | desmond | play
2023-05-07T19:47:47.456Z | niHMo | user0 | play
2023-05-07T19:47:59.040Z | niHMo | desmond | pause
2023-05-07T19:47:59.058Z | niHMo | user0 | pause
2023-05-07T19:48:10.526Z | niHMo | desmond | play
2023-05-07T19:48:10.545Z | niHMo | user0 | play
2023-05-07T19:48:24.888Z | niHMo | desmond | pause
2023-05-07T19:48:24.910Z | niHMo | user0 | pause
2023-05-07T19:48:37.483Z | niHMo | user0 | play
2023-05-07T19:48:37.468Z | niHMo | desmond | play
2023-05-07T19:48:52.752Z | niHMo | desmond | pause
2023-05-07T19:48:52.769Z | niHMo | user0 | pause
2023-05-07T19:49:03.910Z | niHMo | desmond | play
2023-05-07T19:49:03.932Z | niHMo | user0 | play
2023-05-07T19:49:15.554Z | niHMo | desmond | pause
2023-05-07T19:49:15.569Z | niHMo | user0 | pause
2023-05-07T19:49:27.572Z | niHMo | desmond | play
2023-05-07T19:49:27.602Z | niHMo | user0 | play
2023-05-07T19:49:37.613Z | niHMo | user0 | pause
2023-05-07T19:49:37.592Z | niHMo | desmond | pause
2023-05-07T19:49:47.765Z | niHMo | desmond | play
2023-05-07T19:49:47.791Z | niHMo | user0 | play
2023-05-07T19:49:58.255Z | niHMo | desmond | pause
2023-05-07T19:49:58.279Z | niHMo | user0 | pause
2023-05-07T19:50:03.951Z | niHMo | desmond | play
2023-05-07T19:50:03.971Z | niHMo | user0 | play
2023-05-07T19:50:12.276Z | niHMo | desmond | pause
2023-05-07T19:50:12.302Z | niHMo | user0 | pause
2023-05-07T19:50:16.660Z | niHMo | desmond | play
2023-05-07T19:50:16.676Z | niHMo | user0 | play
2023-05-07T19:50:27.581Z | niHMo | desmond | pause
2023-05-07T19:50:27.604Z | niHMo | user0 | pause
2023-05-07T19:50:29.897Z | niHMo | desmond | play
2023-05-07T19:50:29.918Z | niHMo | user0 | play
2023-05-07T19:50:36.423Z | niHMo | desmond | pause
2023-05-07T19:50:36.452Z | niHMo | user0 | pause
