2023-05-07T19:55:11.205Z | kPaGU | desmond | play
2023-05-07T19:55:11.235Z | kPaGU | user0 | play
2023-05-07T19:55:11.238Z | kPaGU | user2 | play
2023-05-07T19:55:11.247Z | kPaGU | user3 | play
2023-05-07T19:55:11.252Z | kPaGU | user1 | play
2023-05-07T19:55:11.239Z | kPaGU | user4 | play
2023-05-07T19:55:11.291Z | kPaGU | user5 | play
2023-05-07T19:55:40.599Z | kPaGU | desmond | pause
2023-05-07T19:55:40.622Z | kPaGU | user3 | pause
2023-05-07T19:55:40.623Z | kPaGU | user4 | pause
2023-05-07T19:55:40.623Z | kPaGU | user2 | pause
2023-05-07T19:55:40.624Z | kPaGU | user1 | pause
2023-05-07T19:55:40.624Z | kPaGU | user5 | pause
2023-05-07T19:55:40.680Z | kPaGU | user0 | pause
2023-05-07T19:56:43.798Z | kPaGU | desmond | play
2023-05-07T19:56:43.831Z | kPaGU | user2 | play
2023-05-07T19:56:43.828Z | kPaGU | user0 | play
2023-05-07T19:56:43.830Z | kPaGU | user5 | play
2023-05-07T19:56:43.831Z | kPaGU | user4 | play
2023-05-07T19:56:43.843Z | kPaGU | user3 | play
2023-05-07T19:56:43.875Z | kPaGU | user1 | play
2023-05-07T19:56:58.600Z | kPaGU | desmond | pause
2023-05-07T19:56:58.621Z | kPaGU | user2 | pause
2023-05-07T19:56:58.620Z | kPaGU | user1 | pause
2023-05-07T19:56:58.623Z | kPaGU | user5 | pause
2023-05-07T19:56:58.622Z | kPaGU | user3 | pause
2023-05-07T19:56:58.628Z | kPaGU | user0 | pause
2023-05-07T19:56:58.635Z | kPaGU | user4 | pause
2023-05-07T19:57:11.645Z | kPaGU | desmond | play
2023-05-07T19:57:11.668Z | kPaGU | user0 | play
2023-05-07T19:57:11.667Z | kPaGU | user2 | play
2023-05-07T19:57:11.668Z | kPaGU | user3 | play
2023-05-07T19:57:11.672Z | kPaGU | user5 | play
2023-05-07T19:57:11.671Z | kPaGU | user4 | play
2023-05-07T19:57:11.700Z | kPaGU | user1 | play
2023-05-07T19:57:28.782Z | kPaGU | desmond | pause
2023-05-07T19:57:28.803Z | kPaGU | user3 | pause
2023-05-07T19:57:28.802Z | kPaGU | user2 | pause
2023-05-07T19:57:28.802Z | kPaGU | user5 | pause
2023-05-07T19:57:28.806Z | kPaGU | user1 | pause
2023-05-07T19:57:28.803Z | kPaGU | user0 | pause
2023-05-07T19:57:28.807Z | kPaGU | user4 | pause
2023-05-07T19:57:37.135Z | kPaGU | desmond | play
2023-05-07T19:57:37.166Z | kPaGU | user3 | play
2023-05-07T19:57:37.164Z | kPaGU | user1 | play
2023-05-07T19:57:37.162Z | kPaGU | user2 | play
2023-05-07T19:57:37.166Z | kPaGU | user4 | play
2023-05-07T19:57:37.181Z | kPaGU | user0 | play
2023-05-07T19:57:37.193Z | kPaGU | user5 | play
2023-05-07T19:57:51.280Z | kPaGU | desmond | pause
2023-05-07T19:57:51.300Z | kPaGU | user3 | pause
2023-05-07T19:57:51.304Z | kPaGU | user2 | pause
2023-05-07T19:57:51.299Z | kPaGU | user0 | pause
2023-05-07T19:57:51.299Z | kPaGU | user4 | pause
2023-05-07T19:57:51.309Z | kPaGU | user1 | pause
2023-05-07T19:57:51.312Z | kPaGU | user5 | pause
2023-05-07T19:58:18.510Z | kPaGU | desmond | play
2023-05-07T19:58:18.535Z | kPaGU | user1 | play
2023-05-07T19:58:18.543Z | kPaGU | user5 | play
2023-05-07T19:58:18.550Z | kPaGU | user0 | play
2023-05-07T19:58:18.540Z | kPaGU | user2 | play
2023-05-07T19:58:18.581Z | kPaGU | user3 | play
2023-05-07T19:58:18.581Z | kPaGU | user4 | play
2023-05-07T19:58:30.953Z | kPaGU | desmond | pause
2023-05-07T19:58:30.969Z | kPaGU | user1 | pause
2023-05-07T19:58:30.969Z | kPaGU | user0 | pause
2023-05-07T19:58:30.970Z | kPaGU | user3 | pause
2023-05-07T19:58:30.971Z | kPaGU | user2 | pause
2023-05-07T19:58:30.969Z | kPaGU | user4 | pause
2023-05-07T19:58:30.978Z | kPaGU | user5 | pause
2023-05-07T19:58:43.107Z | kPaGU | desmond | play
2023-05-07T19:58:43.135Z | kPaGU | user3 | play
2023-05-07T19:58:43.139Z | kPaGU | user0 | play
2023-05-07T19:58:43.145Z | kPaGU | user2 | play
2023-05-07T19:58:43.152Z | kPaGU | user4 | play
2023-05-07T19:58:43.152Z | kPaGU | user5 | play
2023-05-07T19:58:43.154Z | kPaGU | user1 | play
2023-05-07T19:58:54.863Z | kPaGU | desmond | pause
2023-05-07T19:58:54.885Z | kPaGU | user4 | pause
2023-05-07T19:58:54.889Z | kPaGU | user5 | pause
2023-05-07T19:58:54.892Z | kPaGU | user3 | pause
2023-05-07T19:58:54.887Z | kPaGU | user1 | pause
2023-05-07T19:58:54.886Z | kPaGU | user2 | pause
2023-05-07T19:58:54.892Z | kPaGU | user0 | pause
2023-05-07T19:59:11.295Z | kPaGU | desmond | play
2023-05-07T19:59:11.328Z | kPaGU | user4 | play
2023-05-07T19:59:11.326Z | kPaGU | user1 | play
2023-05-07T19:59:11.331Z | kPaGU | user2 | play
2023-05-07T19:59:11.328Z | kPaGU | user3 | play
2023-05-07T19:59:11.320Z | kPaGU | user5 | play
2023-05-07T19:59:11.320Z | kPaGU | user0 | play
2023-05-07T19:59:26.017Z | kPaGU | desmond | pause
2023-05-07T19:59:26.039Z | kPaGU | user4 | pause
2023-05-07T19:59:26.048Z | kPaGU | user5 | pause
2023-05-07T19:59:26.042Z | kPaGU | user0 | pause
2023-05-07T19:59:26.042Z | kPaGU | user3 | pause
2023-05-07T19:59:26.042Z | kPaGU | user2 | pause
2023-05-07T19:59:26.048Z | kPaGU | user1 | pause
2023-05-07T19:59:39.831Z | kPaGU | desmond | play
2023-05-07T19:59:39.870Z | kPaGU | user4 | play
2023-05-07T19:59:39.871Z | kPaGU | user2 | play
2023-05-07T19:59:39.870Z | kPaGU | user5 | play
2023-05-07T19:59:39.856Z | kPaGU | user1 | play
2023-05-07T19:59:39.858Z | kPaGU | user3 | play
2023-05-07T19:59:39.864Z | kPaGU | user0 | play
2023-05-07T19:59:53.315Z | kPaGU | desmond | pause
2023-05-07T19:59:53.337Z | kPaGU | user0 | pause
2023-05-07T19:59:53.336Z | kPaGU | user5 | pause
2023-05-07T19:59:53.337Z | kPaGU | user2 | pause
2023-05-07T19:59:53.335Z | kPaGU | user4 | pause
2023-05-07T19:59:53.348Z | kPaGU | user1 | pause
2023-05-07T19:59:53.386Z | kPaGU | user3 | pause
2023-05-07T20:00:05.345Z | kPaGU | desmond | play
2023-05-07T20:00:05.380Z | kPaGU | user0 | play
2023-05-07T20:00:05.377Z | kPaGU | user3 | play
2023-05-07T20:00:05.378Z | kPaGU | user1 | play
2023-05-07T20:00:05.378Z | kPaGU | user5 | play
2023-05-07T20:00:05.378Z | kPaGU | user2 | play
2023-05-07T20:00:05.377Z | kPaGU | user4 | play
2023-05-07T20:00:19.591Z | kPaGU | desmond | pause
2023-05-07T20:00:19.607Z | kPaGU | user0 | pause
2023-05-07T20:00:19.608Z | kPaGU | user3 | pause
2023-05-07T20:00:19.608Z | kPaGU | user5 | pause
2023-05-07T20:00:19.607Z | kPaGU | user2 | pause
2023-05-07T20:00:19.615Z | kPaGU | user1 | pause
2023-05-07T20:00:19.608Z | kPaGU | user4 | pause
2023-05-07T20:00:33.332Z | kPaGU | desmond | play
2023-05-07T20:00:33.622Z | kPaGU | user1 | play
2023-05-07T20:00:33.622Z | kPaGU | user2 | play
2023-05-07T20:00:33.625Z | kPaGU | user0 | play
2023-05-07T20:00:33.620Z | kPaGU | user4 | play
2023-05-07T20:00:33.620Z | kPaGU | user3 | play
2023-05-07T20:00:33.622Z | kPaGU | user5 | play
2023-05-07T20:00:46.715Z | kPaGU | desmond | pause
2023-05-07T20:00:46.735Z | kPaGU | user4 | pause
2023-05-07T20:00:46.733Z | kPaGU | user0 | pause
2023-05-07T20:00:46.736Z | kPaGU | user1 | pause
2023-05-07T20:00:46.735Z | kPaGU | user3 | pause
2023-05-07T20:00:46.736Z | kPaGU | user2 | pause
2023-05-07T20:00:46.734Z | kPaGU | user5 | pause
