2023-05-07T20:05:56.416Z | lQB8L | user1 | play
2023-05-07T20:05:56.393Z | lQB8L | desmond | play
2023-05-07T20:05:56.434Z | lQB8L | user2 | play
2023-05-07T20:05:56.434Z | lQB8L | user9 | play
2023-05-07T20:05:56.443Z | lQB8L | user5 | play
2023-05-07T20:05:56.464Z | lQB8L | user0 | play
2023-05-07T20:05:56.507Z | lQB8L | user4 | play
2023-05-07T20:05:56.506Z | lQB8L | user6 | play
2023-05-07T20:05:56.519Z | lQB8L | user3 | play
2023-05-07T20:05:56.450Z | lQB8L | user8 | play
2023-05-07T20:07:04.712Z | lQB8L | desmond | pause
2023-05-07T20:07:04.737Z | lQB8L | user8 | pause
2023-05-07T20:07:04.734Z | lQB8L | user3 | pause
2023-05-07T20:07:04.738Z | lQB8L | user6 | pause
2023-05-07T20:07:04.739Z | lQB8L | user2 | pause
2023-05-07T20:07:04.734Z | lQB8L | user1 | pause
2023-05-07T20:07:04.748Z | lQB8L | user4 | pause
2023-05-07T20:07:04.754Z | lQB8L | user9 | pause
2023-05-07T20:07:04.779Z | lQB8L | user5 | pause
2023-05-07T20:07:04.794Z | lQB8L | user0 | pause
2023-05-07T20:07:16.091Z | lQB8L | desmond | play
2023-05-07T20:07:16.119Z | lQB8L | user1 | play
2023-05-07T20:07:16.121Z | lQB8L | user3 | play
2023-05-07T20:07:16.120Z | lQB8L | user6 | play
2023-05-07T20:07:16.120Z | lQB8L | user8 | play
2023-05-07T20:07:16.118Z | lQB8L | user2 | play
2023-05-07T20:07:16.119Z | lQB8L | user9 | play
2023-05-07T20:07:16.118Z | lQB8L | user0 | play
2023-05-07T20:07:16.156Z | lQB8L | user5 | play
2023-05-07T20:07:16.173Z | lQB8L | user4 | play
2023-05-07T20:07:34.097Z | lQB8L | desmond | pause
2023-05-07T20:07:34.116Z | lQB8L | user9 | pause
2023-05-07T20:07:34.124Z | lQB8L | user2 | pause
2023-05-07T20:07:34.116Z | lQB8L | user5 | pause
2023-05-07T20:07:34.117Z | lQB8L | user0 | pause
2023-05-07T20:07:34.116Z | lQB8L | user6 | pause
2023-05-07T20:07:34.115Z | lQB8L | user3 | pause
2023-05-07T20:07:34.116Z | lQB8L | user8 | pause
2023-05-07T20:07:34.156Z | lQB8L | user1 | pause
2023-05-07T20:07:34.174Z | lQB8L | user4 | pause
2023-05-07T20:07:49.399Z | lQB8L | desmond | play
2023-05-07T20:07:49.427Z | lQB8L | user3 | play
2023-05-07T20:07:49.426Z | lQB8L | user6 | play
2023-05-07T20:07:49.423Z | lQB8L | user2 | play
2023-05-07T20:07:49.425Z | lQB8L | user9 | play
2023-05-07T20:07:49.428Z | lQB8L | user5 | play
2023-05-07T20:07:49.425Z | lQB8L | user8 | play
2023-05-07T20:07:49.487Z | lQB8L | user4 | play
2023-05-07T20:07:49.434Z | lQB8L | user0 | play
2023-05-07T20:07:49.502Z | lQB8L | user1 | play
2023-05-07T20:08:01.082Z | lQB8L | desmond | pause
2023-05-07T20:08:01.100Z | lQB8L | user9 | pause
2023-05-07T20:08:01.099Z | lQB8L | user3 | pause
2023-05-07T20:08:01.109Z | lQB8L | user0 | pause
2023-05-07T20:08:01.101Z | lQB8L | user1 | pause
2023-05-07T20:08:01.101Z | lQB8L | user5 | pause
2023-05-07T20:08:01.100Z | lQB8L | user6 | pause
2023-05-07T20:08:01.103Z | lQB8L | user4 | pause
2023-05-07T20:08:01.099Z | lQB8L | user2 | pause
2023-05-07T20:08:01.112Z | lQB8L | user8 | pause
2023-05-07T20:08:12.870Z | lQB8L | desmond | play
2023-05-07T20:08:12.896Z | lQB8L | user3 | play
2023-05-07T20:08:12.895Z | lQB8L | user6 | play
2023-05-07T20:08:12.894Z | lQB8L | user8 | play
2023-05-07T20:08:12.895Z | lQB8L | user9 | play
2023-05-07T20:08:12.895Z | lQB8L | user5 | play
2023-05-07T20:08:12.899Z | lQB8L | user1 | play
2023-05-07T20:08:12.899Z | lQB8L | user2 | play
2023-05-07T20:08:12.949Z | lQB8L | user0 | play
2023-05-07T20:08:12.954Z | lQB8L | user4 | play
2023-05-07T20:08:29.377Z | lQB8L | desmond | pause
2023-05-07T20:08:29.396Z | lQB8L | user3 | pause
2023-05-07T20:08:29.395Z | lQB8L | user8 | pause
2023-05-07T20:08:29.397Z | lQB8L | user0 | pause
2023-05-07T20:08:29.396Z | lQB8L | user2 | pause
2023-05-07T20:08:29.396Z | lQB8L | user1 | pause
2023-05-07T20:08:29.397Z | lQB8L | user5 | pause
2023-05-07T20:08:29.409Z | lQB8L | user6 | pause
2023-05-07T20:08:29.423Z | lQB8L | user9 | pause
2023-05-07T20:08:29.444Z | lQB8L | user4 | pause
2023-05-07T20:08:41.471Z | lQB8L | desmond | play
2023-05-07T20:08:41.495Z | lQB8L | user5 | play
2023-05-07T20:08:41.501Z | lQB8L | user1 | play
2023-05-07T20:08:41.496Z | lQB8L | user0 | play
