2023-05-05T05:34:46.024Z | VO6Jy | u1 | play
2023-05-05T05:34:46.037Z | VO6Jy | u2 | play
2023-05-05T05:34:46.070Z | VO6Jy | u3 | play
2023-05-05T05:34:54.252Z | VO6Jy | u1 | pause
2023-05-05T05:34:54.336Z | VO6Jy | u2 | pause
2023-05-05T05:34:54.312Z | VO6Jy | u3 | pause
2023-05-05T05:35:05.578Z | VO6Jy | u2 | play
2023-05-05T05:35:05.612Z | VO6Jy | u3 | play
2023-05-05T05:35:05.649Z | VO6Jy | u1 | play
2023-05-05T05:35:14.410Z | VO6Jy | u2 | pause
2023-05-05T05:35:14.434Z | VO6Jy | u3 | pause
2023-05-05T05:35:14.445Z | VO6Jy | u1 | pause
2023-05-05T05:35:41.646Z | VO6Jy | u2 | play
2023-05-05T05:35:41.740Z | VO6Jy | u3 | play
2023-05-05T05:35:41.737Z | VO6Jy | u1 | play
2023-05-05T05:35:51.017Z | VO6Jy | u3 | pause
2023-05-05T05:35:51.041Z | VO6Jy | u1 | pause
2023-05-05T05:35:51.078Z | VO6Jy | u2 | pause
2023-05-05T05:36:01.645Z | VO6Jy | u1 | play
2023-05-05T05:36:01.682Z | VO6Jy | u3 | play
2023-05-05T05:36:01.746Z | VO6Jy | u2 | play
2023-05-05T05:36:09.486Z | VO6Jy | u2 | pause
2023-05-05T05:36:09.495Z | VO6Jy | u3 | pause
2023-05-05T05:36:09.544Z | VO6Jy | u1 | pause
2023-05-05T05:50:16.697Z | fiCwP | u1 | play
2023-05-05T05:50:19.995Z | fiCwP | u1 | pause
2023-05-05T05:52:51.320Z | fiCwP | u1 | play
2023-05-05T05:52:52.330Z | fiCwP | u1 | pause
2023-05-05T05:52:54.429Z | VO6Jy | u2 | play
2023-05-05T05:52:54.443Z | fiCwP | u1 | play
2023-05-05T05:52:56.737Z | VO6Jy | u2 | pause
2023-05-05T05:52:56.782Z | fiCwP | u1 | pause
2023-05-05T05:53:39.826Z | fiCwP | u1 | play
2023-05-05T05:53:40.926Z | fiCwP | u1 | pause
2023-05-05T05:53:41.770Z | fiCwP | u1 | play
2023-05-05T05:53:42.359Z | fiCwP | u1 | pause
2023-05-05T07:41:20.872Z | zOSDY | dfd | play
2023-05-05T07:41:23.447Z | zOSDY | dfd | pause
2023-05-05T07:41:31.593Z | zOSDY | dfd | play
2023-05-05T07:42:51.119Z | zOSDY | dfd | pause
