2023-05-07T18:10:00.671Z | DsU04 | user0 | 0
2023-05-07T18:10:01.684Z | DsU04 | user0 | 17
2023-05-07T18:10:41.597Z | DsU04 | desmond | 22
2023-05-07T18:10:42.913Z | DsU04 | user0 | 23
2023-05-07T18:10:42.610Z | DsU04 | desmond | 28
2023-05-07T18:10:43.917Z | DsU04 | user0 | 23
2023-05-07T18:10:43.619Z | DsU04 | desmond | 28
2023-05-07T18:10:44.920Z | DsU04 | user0 | 23
2023-05-07T18:10:44.627Z | DsU04 | desmond | 28
2023-05-07T18:10:45.925Z | DsU04 | user0 | 23
2023-05-07T18:10:45.635Z | DsU04 | desmond | 28
2023-05-07T18:10:46.935Z | DsU04 | user0 | 23
2023-05-07T18:10:46.643Z | DsU04 | desmond | 28
2023-05-07T18:10:47.944Z | DsU04 | user0 | 23
2023-05-07T18:10:47.650Z | DsU04 | desmond | 28
2023-05-07T18:10:48.946Z | DsU04 | user0 | 23
2023-05-07T18:10:48.659Z | DsU04 | desmond | 28
2023-05-07T18:10:49.958Z | DsU04 | user0 | 23
2023-05-07T18:10:49.667Z | DsU04 | desmond | 28
2023-05-07T18:10:50.961Z | DsU04 | user0 | 23
2023-05-07T18:10:50.674Z | DsU04 | desmond | 28
2023-05-07T18:10:51.964Z | DsU04 | user0 | 23
2023-05-07T18:10:51.682Z | DsU04 | desmond | 28
2023-05-07T18:10:52.975Z | DsU04 | user0 | 22
2023-05-07T18:10:52.690Z | DsU04 | desmond | 28
2023-05-07T18:10:53.984Z | DsU04 | user0 | 22
2023-05-07T18:10:53.699Z | DsU04 | desmond | 28
2023-05-07T18:11:02.765Z | DsU04 | desmond | 28
2023-05-07T18:11:04.038Z | DsU04 | user0 | 29
2023-05-07T18:11:03.779Z | DsU04 | desmond | 28
2023-05-07T18:11:05.046Z | DsU04 | user0 | 29
2023-05-07T18:11:04.792Z | DsU04 | desmond | 28
2023-05-07T18:11:06.047Z | DsU04 | user0 | 29
