2023-05-07T18:39:23.188Z | PViyg | mansi | 0
2023-05-07T18:40:03.420Z | PViyg | Desmond | 0
2023-05-07T18:41:54.001Z | PViyg | user3 | 0
2023-05-07T18:41:55.007Z | PViyg | user3 | 2
2023-05-07T18:41:55.190Z | PViyg | user2 | 0
2023-05-07T18:41:55.324Z | PViyg | user0 | 0
2023-05-07T18:41:55.648Z | PViyg | user1 | 0
2023-05-07T18:41:56.018Z | PViyg | user3 | 11
2023-05-07T18:41:56.330Z | PViyg | user0 | 8
2023-05-07T18:41:56.656Z | PViyg | user1 | 2
2023-05-07T18:41:57.023Z | PViyg | user3 | 16
2023-05-07T18:41:57.201Z | PViyg | user2 | 2
2023-05-07T18:41:57.344Z | PViyg | user0 | 16
2023-05-07T18:41:57.658Z | PViyg | user1 | 12
2023-05-07T18:41:58.028Z | PViyg | user3 | 21
2023-05-07T18:41:58.205Z | PViyg | user2 | 10
2023-05-07T18:41:58.670Z | PViyg | user1 | 19
2023-05-07T18:41:59.221Z | PViyg | user2 | 13
2023-05-07T18:42:00.224Z | PViyg | user2 | 17
2023-05-07T18:42:01.228Z | PViyg | user2 | 22
2023-05-07T18:42:05.416Z | PViyg | user0 | 23
2023-05-07T18:42:05.718Z | PViyg | user1 | 23
2023-05-07T18:42:06.083Z | PViyg | user3 | 23
2023-05-07T18:42:06.073Z | PViyg | mansi | 24
2023-05-07T18:42:05.393Z | PViyg | Desmond | 22
2023-05-07T18:42:06.271Z | PViyg | user2 | 23
2023-05-07T18:42:06.420Z | PViyg | user0 | 23
2023-05-07T18:42:06.722Z | PViyg | user1 | 23
2023-05-07T18:42:07.075Z | PViyg | mansi | 24
2023-05-07T18:42:07.086Z | PViyg | user3 | 23
2023-05-07T18:42:06.401Z | PViyg | Desmond | 23
2023-05-07T18:42:07.274Z | PViyg | user2 | 23
2023-05-07T18:42:07.428Z | PViyg | user0 | 23
2023-05-07T18:42:07.728Z | PViyg | user1 | 23
2023-05-07T18:42:08.080Z | PViyg | mansi | 24
2023-05-07T18:42:08.091Z | PViyg | user3 | 23
2023-05-07T18:42:07.417Z | PViyg | Desmond | 23
2023-05-07T18:42:08.277Z | PViyg | user2 | 23
2023-05-07T18:42:08.432Z | PViyg | user0 | 23
2023-05-07T18:42:08.734Z | PViyg | user1 | 23
2023-05-07T18:42:09.091Z | PViyg | mansi | 24
2023-05-07T18:42:09.102Z | PViyg | user3 | 23
2023-05-07T18:42:08.435Z | PViyg | Desmond | 22
2023-05-07T18:42:09.288Z | PViyg | user2 | 23
2023-05-07T18:42:09.437Z | PViyg | user0 | 23
2023-05-07T18:42:09.741Z | PViyg | user1 | 23
2023-05-07T18:42:10.107Z | PViyg | mansi | 23
2023-05-07T18:42:10.111Z | PViyg | user3 | 23
2023-05-07T18:42:09.448Z | PViyg | Desmond | 22
2023-05-07T18:42:10.296Z | PViyg | user2 | 23
2023-05-07T18:42:10.444Z | PViyg | user0 | 23
2023-05-07T18:42:10.746Z | PViyg | user1 | 23
2023-05-07T18:42:11.128Z | PViyg | mansi | 23
2023-05-07T18:42:11.122Z | PViyg | user3 | 23
2023-05-07T18:42:10.457Z | PViyg | Desmond | 22
2023-05-07T18:42:11.299Z | PViyg | user2 | 23
2023-05-07T18:42:11.454Z | PViyg | user0 | 23
2023-05-07T18:42:11.754Z | PViyg | user1 | 23
2023-05-07T18:42:12.125Z | PViyg | user3 | 23
2023-05-07T18:42:12.147Z | PViyg | mansi | 23
2023-05-07T18:42:11.474Z | PViyg | Desmond | 22
2023-05-07T18:42:12.303Z | PViyg | user2 | 23
2023-05-07T18:42:12.461Z | PViyg | user0 | 23
2023-05-07T18:42:12.760Z | PViyg | user1 | 23
2023-05-07T18:42:13.133Z | PViyg | user3 | 23
2023-05-07T18:42:13.171Z | PViyg | mansi | 23
2023-05-07T18:42:12.489Z | PViyg | Desmond | 22
2023-05-07T18:42:13.312Z | PViyg | user2 | 23
2023-05-07T18:42:13.468Z | PViyg | user0 | 23
2023-05-07T18:42:13.765Z | PViyg | user1 | 23
2023-05-07T18:42:14.137Z | PViyg | user3 | 23
2023-05-07T18:42:14.184Z | PViyg | mansi | 23
2023-05-07T18:42:13.506Z | PViyg | Desmond | 22
2023-05-07T18:42:14.316Z | PViyg | user2 | 23
2023-05-07T18:42:14.473Z | PViyg | user0 | 23
2023-05-07T18:42:14.775Z | PViyg | user1 | 23
2023-05-07T18:42:15.147Z | PViyg | user3 | 23
2023-05-07T18:42:15.210Z | PViyg | mansi | 23
2023-05-07T18:42:15.324Z | PViyg | user2 | 23
2023-05-07T18:42:14.520Z | PViyg | Desmond | 22
2023-05-07T18:42:15.482Z | PViyg | user0 | 23
2023-05-07T18:42:15.784Z | PViyg | user1 | 23
2023-05-07T18:42:16.152Z | PViyg | user3 | 22
