2023-05-07T19:02:45.019Z | nDp8H | desmond | 0
2023-05-07T19:03:17.090Z | nDp8H | user3 | 0
2023-05-07T19:03:17.282Z | nDp8H | user1 | 0
2023-05-07T19:03:17.702Z | nDp8H | user4 | 0
2023-05-07T19:03:18.093Z | nDp8H | user3 | 2
2023-05-07T19:03:18.294Z | nDp8H | user1 | 2
2023-05-07T19:03:18.069Z | nDp8H | user0 | 0
2023-05-07T19:03:18.321Z | nDp8H | user2 | 0
2023-05-07T19:03:18.709Z | nDp8H | user4 | 9
2023-05-07T19:03:19.084Z | nDp8H | user0 | 10
2023-05-07T19:03:19.099Z | nDp8H | user3 | 9
2023-05-07T19:03:19.300Z | nDp8H | user1 | 9
2023-05-07T19:03:19.323Z | nDp8H | user2 | 2
2023-05-07T19:03:19.711Z | nDp8H | user4 | 15
2023-05-07T19:03:20.088Z | nDp8H | user0 | 22
2023-05-07T19:03:20.302Z | nDp8H | user1 | 13
2023-05-07T19:03:20.329Z | nDp8H | user2 | 9
2023-05-07T19:03:20.108Z | nDp8H | user3 | 12
2023-05-07T19:03:20.717Z | nDp8H | user4 | 22
2023-05-07T19:03:21.117Z | nDp8H | user3 | 16
2023-05-07T19:03:21.306Z | nDp8H | user1 | 18
2023-05-07T19:03:21.331Z | nDp8H | user2 | 13
2023-05-07T19:03:22.126Z | nDp8H | user3 | 20
2023-05-07T19:03:22.336Z | nDp8H | user2 | 18
2023-05-07T19:03:23.318Z | nDp8H | user1 | 23
2023-05-07T19:03:23.354Z | nDp8H | user2 | 23
2023-05-07T19:03:24.083Z | nDp8H | desmond | 23
2023-05-07T19:03:24.108Z | nDp8H | user0 | 23
2023-05-07T19:03:24.133Z | nDp8H | user3 | 23
2023-05-07T19:03:24.330Z | nDp8H | user1 | 23
2023-05-07T19:03:23.730Z | nDp8H | user4 | 23
2023-05-07T19:03:24.365Z | nDp8H | user2 | 23
2023-05-07T19:03:24.736Z | nDp8H | user4 | 23
2023-05-07T19:03:25.090Z | nDp8H | desmond | 23
2023-05-07T19:03:25.140Z | nDp8H | user3 | 23
2023-05-07T19:03:25.116Z | nDp8H | user0 | 23
2023-05-07T19:03:25.337Z | nDp8H | user1 | 23
2023-05-07T19:03:25.372Z | nDp8H | user2 | 23
2023-05-07T19:03:25.739Z | nDp8H | user4 | 23
2023-05-07T19:03:26.092Z | nDp8H | desmond | 23
2023-05-07T19:03:26.124Z | nDp8H | user0 | 23
2023-05-07T19:03:26.149Z | nDp8H | user3 | 23
2023-05-07T19:03:26.344Z | nDp8H | user1 | 23
2023-05-07T19:03:26.379Z | nDp8H | user2 | 23
2023-05-07T19:03:26.746Z | nDp8H | user4 | 23
2023-05-07T19:03:27.098Z | nDp8H | desmond | 23
2023-05-07T19:03:27.131Z | nDp8H | user0 | 23
2023-05-07T19:03:27.156Z | nDp8H | user3 | 23
2023-05-07T19:03:27.352Z | nDp8H | user1 | 23
