2023-05-07T19:10:50.387Z | mtYK9 | desmond | 0
2023-05-07T19:11:14.084Z | mtYK9 | user2 | 0
2023-05-07T19:11:14.549Z | mtYK9 | user7 | 0
2023-05-07T19:11:14.637Z | mtYK9 | user1 | 0
2023-05-07T19:11:14.636Z | mtYK9 | user3 | 0
2023-05-07T19:11:15.556Z | mtYK9 | user7 | 8
2023-05-07T19:11:15.640Z | mtYK9 | user1 | 2
2023-05-07T19:11:15.640Z | mtYK9 | user3 | 2
2023-05-07T19:11:16.101Z | mtYK9 | user2 | 2
2023-05-07T19:11:15.864Z | mtYK9 | user8 | 0
2023-05-07T19:11:16.646Z | mtYK9 | user1 | 14
2023-05-07T19:11:16.294Z | mtYK9 | user5 | 0
2023-05-07T19:11:16.867Z | mtYK9 | user8 | 8
2023-05-07T19:11:16.566Z | mtYK9 | user7 | 11
2023-05-07T19:11:16.519Z | mtYK9 | user6 | 0
2023-05-07T19:11:17.109Z | mtYK9 | user2 | 9
2023-05-07T19:11:16.644Z | mtYK9 | user3 | 11
2023-05-07T19:11:17.335Z | mtYK9 | user4 | 0
2023-05-07T19:11:17.532Z | mtYK9 | user6 | 2
2023-05-07T19:11:17.571Z | mtYK9 | user7 | 15
2023-05-07T19:11:17.649Z | mtYK9 | user3 | 16
2023-05-07T19:11:17.658Z | mtYK9 | user1 | 20
2023-05-07T19:11:17.873Z | mtYK9 | user8 | 11
2023-05-07T19:11:18.127Z | mtYK9 | user2 | 11
2023-05-07T19:11:18.302Z | mtYK9 | user5 | 2
2023-05-07T19:11:18.339Z | mtYK9 | user4 | 2
2023-05-07T19:11:18.578Z | mtYK9 | user7 | 17
2023-05-07T19:11:18.652Z | mtYK9 | user3 | 21
2023-05-07T19:11:18.534Z | mtYK9 | user6 | 8
2023-05-07T19:11:18.880Z | mtYK9 | user8 | 14
2023-05-07T19:11:19.139Z | mtYK9 | user2 | 13
2023-05-07T19:11:19.312Z | mtYK9 | user5 | 10
2023-05-07T19:11:19.350Z | mtYK9 | user4 | 12
2023-05-07T19:11:19.542Z | mtYK9 | user6 | 12
2023-05-07T19:11:19.581Z | mtYK9 | user7 | 20
2023-05-07T19:11:19.882Z | mtYK9 | user8 | 17
2023-05-07T19:11:20.146Z | mtYK9 | user2 | 16
2023-05-07T19:11:20.317Z | mtYK9 | user5 | 14
2023-05-07T19:11:20.352Z | mtYK9 | user4 | 18
2023-05-07T19:11:20.546Z | mtYK9 | user6 | 16
2023-05-07T19:11:20.896Z | mtYK9 | user8 | 21
2023-05-07T19:11:21.149Z | mtYK9 | user2 | 18
2023-05-07T19:11:21.331Z | mtYK9 | user5 | 18
2023-05-07T19:11:21.553Z | mtYK9 | user6 | 20
2023-05-07T19:11:22.158Z | mtYK9 | user2 | 21
2023-05-07T19:11:22.333Z | mtYK9 | user5 | 22
2023-05-07T19:11:55.044Z | mtYK9 | user0 | 0
2023-05-07T19:12:33.892Z | mtYK9 | user1 | 0
2023-05-07T19:12:34.255Z | mtYK9 | user8 | 0
2023-05-07T19:12:34.467Z | mtYK9 | user6 | 0
2023-05-07T19:12:35.259Z | mtYK9 | user8 | 2
2023-05-07T19:12:36.266Z | mtYK9 | user8 | 8
2023-05-07T19:12:57.045Z | mtYK9 | user7 | 0
2023-05-07T19:12:57.049Z | mtYK9 | user3 | 0
2023-05-07T19:12:57.307Z | mtYK9 | user0 | 0
2023-05-07T19:12:57.411Z | mtYK9 | user6 | 0
2023-05-07T19:12:57.452Z | mtYK9 | user2 | 0
2023-05-07T19:12:57.480Z | mtYK9 | user1 | 0
2023-05-07T19:12:58.060Z | mtYK9 | user7 | 2
2023-05-07T19:12:57.745Z | mtYK9 | user8 | 0
2023-05-07T19:12:57.843Z | mtYK9 | user9 | 0
2023-05-07T19:12:58.314Z | mtYK9 | user0 | 2
2023-05-07T19:12:58.413Z | mtYK9 | user6 | 10
2023-05-07T19:12:58.490Z | mtYK9 | user1 | 11
2023-05-07T19:12:58.853Z | mtYK9 | user9 | 2
2023-05-07T19:12:59.065Z | mtYK9 | user7 | 13
2023-05-07T19:12:59.069Z | mtYK9 | user3 | 2
2023-05-07T19:12:59.316Z | mtYK9 | user0 | 9
2023-05-07T19:12:59.418Z | mtYK9 | user6 | 17
2023-05-07T19:12:59.503Z | mtYK9 | user1 | 14
2023-05-07T19:12:59.763Z | mtYK9 | user8 | 2
2023-05-07T19:12:59.855Z | mtYK9 | user9 | 8
2023-05-07T19:12:59.618Z | mtYK9 | user5 | 0
2023-05-07T19:13:00.070Z | mtYK9 | user7 | 18
2023-05-07T19:13:00.076Z | mtYK9 | user3 | 8
2023-05-07T19:13:00.323Z | mtYK9 | user0 | 12
2023-05-07T19:13:00.513Z | mtYK9 | user1 | 19
2023-05-07T19:13:00.625Z | mtYK9 | user5 | 8
2023-05-07T19:13:00.548Z | mtYK9 | user4 | 0
2023-05-07T19:13:00.777Z | mtYK9 | user8 | 8
2023-05-07T19:13:00.859Z | mtYK9 | user9 | 10
2023-05-07T19:13:01.084Z | mtYK9 | user3 | 10
2023-05-07T19:13:01.326Z | mtYK9 | user0 | 15
2023-05-07T19:13:01.528Z | mtYK9 | user1 | 22
2023-05-07T19:13:01.564Z | mtYK9 | user4 | 2
2023-05-07T19:13:01.630Z | mtYK9 | user5 | 13
2023-05-07T19:13:01.791Z | mtYK9 | user8 | 11
2023-05-07T19:13:01.865Z | mtYK9 | user9 | 12
2023-05-07T19:13:02.089Z | mtYK9 | user3 | 13
2023-05-07T19:13:02.329Z | mtYK9 | user0 | 18
2023-05-07T19:13:02.573Z | mtYK9 | user4 | 8
2023-05-07T19:13:02.638Z | mtYK9 | user5 | 20
2023-05-07T19:13:02.798Z | mtYK9 | user8 | 13
2023-05-07T19:13:02.890Z | mtYK9 | user9 | 14
2023-05-07T19:13:03.097Z | mtYK9 | user3 | 16
2023-05-07T19:13:03.336Z | mtYK9 | user0 | 21
2023-05-07T19:13:03.577Z | mtYK9 | user4 | 13
2023-05-07T19:13:03.806Z | mtYK9 | user8 | 16
2023-05-07T19:13:03.906Z | mtYK9 | user9 | 18
2023-05-07T19:13:04.101Z | mtYK9 | user3 | 20
2023-05-07T19:13:04.580Z | mtYK9 | user4 | 19
2023-05-07T19:13:04.816Z | mtYK9 | user8 | 19
2023-05-07T19:13:04.909Z | mtYK9 | user9 | 21
2023-05-07T19:13:05.822Z | mtYK9 | user8 | 21
2023-05-07T19:13:35.592Z | mtYK9 | user0 | 23
2023-05-07T19:13:35.715Z | mtYK9 | user6 | 23
2023-05-07T19:13:35.798Z | mtYK9 | desmond | 23
2023-05-07T19:13:35.822Z | mtYK9 | user1 | 23
2023-05-07T19:13:35.816Z | mtYK9 | user2 | 23
2023-05-07T19:13:35.858Z | mtYK9 | user5 | 23
2023-05-07T19:13:35.853Z | mtYK9 | user4 | 23
2023-05-07T19:13:36.214Z | mtYK9 | user8 | 23
2023-05-07T19:13:36.139Z | mtYK9 | user9 | 23
2023-05-07T19:13:36.395Z | mtYK9 | user3 | 23
2023-05-07T19:13:36.389Z | mtYK9 | user7 | 23
2023-05-07T19:13:36.599Z | mtYK9 | user0 | 23
2023-05-07T19:13:36.725Z | mtYK9 | user6 | 23
2023-05-07T19:13:36.806Z | mtYK9 | desmond | 23
2023-05-07T19:13:36.823Z | mtYK9 | user2 | 23
2023-05-07T19:13:36.829Z | mtYK9 | user1 | 23
2023-05-07T19:13:36.857Z | mtYK9 | user4 | 23
2023-05-07T19:13:36.866Z | mtYK9 | user5 | 23
2023-05-07T19:13:37.151Z | mtYK9 | user9 | 23
2023-05-07T19:13:37.222Z | mtYK9 | user8 | 23
2023-05-07T19:13:37.397Z | mtYK9 | user7 | 23
2023-05-07T19:13:37.403Z | mtYK9 | user3 | 23
2023-05-07T19:13:37.607Z | mtYK9 | user0 | 23
2023-05-07T19:13:37.733Z | mtYK9 | user6 | 23
2023-05-07T19:13:37.814Z | mtYK9 | desmond | 23
2023-05-07T19:13:37.832Z | mtYK9 | user2 | 23
2023-05-07T19:13:37.838Z | mtYK9 | user1 | 23
2023-05-07T19:13:37.865Z | mtYK9 | user4 | 23
2023-05-07T19:13:37.875Z | mtYK9 | user5 | 23
2023-05-07T19:13:38.157Z | mtYK9 | user9 | 23
2023-05-07T19:13:38.229Z | mtYK9 | user8 | 23
2023-05-07T19:13:38.403Z | mtYK9 | user7 | 23
2023-05-07T19:13:38.409Z | mtYK9 | user3 | 23
2023-05-07T19:13:38.611Z | mtYK9 | user0 | 23
2023-05-07T19:13:38.740Z | mtYK9 | user6 | 23
2023-05-07T19:13:38.822Z | mtYK9 | desmond | 23
2023-05-07T19:13:38.839Z | mtYK9 | user2 | 23
2023-05-07T19:13:38.845Z | mtYK9 | user1 | 23
2023-05-07T19:13:38.873Z | mtYK9 | user4 | 23
2023-05-07T19:13:38.882Z | mtYK9 | user5 | 23
2023-05-07T19:13:39.165Z | mtYK9 | user9 | 23
2023-05-07T19:13:39.237Z | mtYK9 | user8 | 23
2023-05-07T19:13:39.412Z | mtYK9 | user7 | 23
2023-05-07T19:13:39.419Z | mtYK9 | user3 | 23
2023-05-07T19:13:39.621Z | mtYK9 | user0 | 23
2023-05-07T19:13:39.748Z | mtYK9 | user6 | 23
2023-05-07T19:13:39.831Z | mtYK9 | desmond | 23
2023-05-07T19:13:39.846Z | mtYK9 | user2 | 23
2023-05-07T19:13:39.852Z | mtYK9 | user1 | 23
2023-05-07T19:13:39.889Z | mtYK9 | user5 | 23
2023-05-07T19:13:39.881Z | mtYK9 | user4 | 23
2023-05-07T19:13:40.172Z | mtYK9 | user9 | 23
2023-05-07T19:13:40.243Z | mtYK9 | user8 | 23
2023-05-07T19:13:40.425Z | mtYK9 | user3 | 23
2023-05-07T19:13:40.419Z | mtYK9 | user7 | 23
