2023-05-07T19:23:54.643Z | aDxcQ | desmond | 0
2023-05-07T19:24:22.275Z | aDxcQ | user5 | 0
2023-05-07T19:24:22.628Z | aDxcQ | user16 | 0
2023-05-07T19:24:23.287Z | aDxcQ | user5 | 2
2023-05-07T19:24:22.590Z | aDxcQ | user2 | 0
2023-05-07T19:24:23.615Z | aDxcQ | user2 | 8
2023-05-07T19:24:24.299Z | aDxcQ | user5 | 8
2023-05-07T19:24:23.552Z | aDxcQ | user4 | 0
2023-05-07T19:24:24.599Z | aDxcQ | user4 | 17
2023-05-07T19:24:24.626Z | aDxcQ | user2 | 10
2023-05-07T19:24:24.645Z | aDxcQ | user16 | 2
2023-05-07T19:24:22.847Z | aDxcQ | user15 | 0
2023-05-07T19:24:25.303Z | aDxcQ | user5 | 16
2023-05-07T19:24:25.629Z | aDxcQ | user2 | 17
2023-05-07T19:24:25.702Z | aDxcQ | user16 | 13
2023-05-07T19:24:24.390Z | aDxcQ | user6 | 0
2023-05-07T19:24:25.402Z | aDxcQ | user6 | 2
2023-05-07T19:24:26.636Z | aDxcQ | user2 | 21
2023-05-07T19:24:26.417Z | aDxcQ | user6 | 11
2023-05-07T19:24:26.705Z | aDxcQ | user16 | 19
2023-05-07T19:24:25.404Z | aDxcQ | user17 | 0
2023-05-07T19:24:27.419Z | aDxcQ | user6 | 18
2023-05-07T19:24:27.418Z | aDxcQ | user17 | 2
2023-05-07T19:24:26.385Z | aDxcQ | user3 | 0
2023-05-07T19:24:26.381Z | aDxcQ | user14 | 0
2023-05-07T19:24:28.399Z | aDxcQ | user14 | 2
2023-05-07T19:24:28.405Z | aDxcQ | user3 | 2
2023-05-07T19:24:29.419Z | aDxcQ | user14 | 8
2023-05-07T19:24:29.428Z | aDxcQ | user3 | 8
2023-05-07T19:24:28.425Z | aDxcQ | user17 | 8
2023-05-07T19:24:29.445Z | aDxcQ | user17 | 12
2023-05-07T19:24:27.662Z | aDxcQ | user12 | 0
2023-05-07T19:24:29.683Z | aDxcQ | user12 | 8
2023-05-07T19:24:30.433Z | aDxcQ | user14 | 11
2023-05-07T19:24:30.447Z | aDxcQ | user3 | 11
2023-05-07T19:24:30.460Z | aDxcQ | user17 | 14
2023-05-07T19:24:28.670Z | aDxcQ | user12 | 2
2023-05-07T19:24:30.690Z | aDxcQ | user12 | 10
2023-05-07T19:24:31.457Z | aDxcQ | user3 | 13
2023-05-07T19:24:31.473Z | aDxcQ | user17 | 16
2023-05-07T19:24:29.949Z | aDxcQ | user1 | 0
2023-05-07T19:24:31.443Z | aDxcQ | user14 | 13
2023-05-07T19:24:31.694Z | aDxcQ | user12 | 12
2023-05-07T19:24:30.956Z | aDxcQ | user1 | 2
2023-05-07T19:24:29.641Z | aDxcQ | user7 | 0
2023-05-07T19:24:30.658Z | aDxcQ | user7 | 11
2023-05-07T19:24:32.455Z | aDxcQ | user14 | 16
2023-05-07T19:24:31.663Z | aDxcQ | user7 | 13
2023-05-07T19:24:32.468Z | aDxcQ | user3 | 16
2023-05-07T19:24:32.679Z | aDxcQ | user7 | 17
2023-05-07T19:24:32.701Z | aDxcQ | user12 | 16
2023-05-07T19:24:32.962Z | aDxcQ | user1 | 2
2023-05-07T19:24:32.477Z | aDxcQ | user17 | 19
2023-05-07T19:24:33.482Z | aDxcQ | user17 | 22
2023-05-07T19:24:33.682Z | aDxcQ | user7 | 21
2023-05-07T19:24:33.704Z | aDxcQ | user12 | 21
2023-05-07T19:24:33.967Z | aDxcQ | user1 | 8
2023-05-07T19:24:33.463Z | aDxcQ | user14 | 19
2023-05-07T19:24:33.473Z | aDxcQ | user3 | 19
2023-05-07T19:24:34.466Z | aDxcQ | user14 | 22
2023-05-07T19:24:34.479Z | aDxcQ | user3 | 20
2023-05-07T19:24:34.686Z | aDxcQ | user7 | 22
2023-05-07T19:24:34.968Z | aDxcQ | user1 | 13
2023-05-07T19:24:35.482Z | aDxcQ | user3 | 20
2023-05-07T19:24:35.470Z | aDxcQ | user14 | 22
2023-05-07T19:24:35.981Z | aDxcQ | user1 | 20
2023-05-07T19:24:36.988Z | aDxcQ | user1 | 20
2023-05-07T19:24:36.223Z | aDxcQ | user0 | 0
2023-05-07T19:24:37.995Z | aDxcQ | user11 | 0
2023-05-07T19:25:06.250Z | aDxcQ | user1 | 23
2023-05-07T19:25:06.512Z | aDxcQ | user15 | 22
2023-05-07T19:25:06.486Z | aDxcQ | user0 | 22
2023-05-07T19:25:06.759Z | aDxcQ | user17 | 23
2023-05-07T19:25:06.659Z | aDxcQ | user5 | 23
2023-05-07T19:25:06.710Z | aDxcQ | desmond | 23
2023-05-07T19:25:07.254Z | aDxcQ | user1 | 23
2023-05-07T19:25:06.756Z | aDxcQ | user3 | 23
2023-05-07T19:25:06.794Z | aDxcQ | user14 | 23
2023-05-07T19:25:07.493Z | aDxcQ | user0 | 24
2023-05-07T19:25:07.520Z | aDxcQ | user15 | 22
2023-05-07T19:25:07.709Z | aDxcQ | user5 | 23
2023-05-07T19:25:07.764Z | aDxcQ | user17 | 23
2023-05-07T19:25:07.044Z | aDxcQ | user12 | 23
2023-05-07T19:25:07.720Z | aDxcQ | desmond | 23
2023-05-07T19:25:07.764Z | aDxcQ | user3 | 23
2023-05-07T19:25:07.371Z | aDxcQ | user11 | 22
2023-05-07T19:25:07.285Z | aDxcQ | user4 | 23
2023-05-07T19:25:07.320Z | aDxcQ | user16 | 23
2023-05-07T19:25:07.817Z | aDxcQ | user14 | 23
2023-05-07T19:25:08.053Z | aDxcQ | user12 | 23
2023-05-07T19:25:07.398Z | aDxcQ | user2 | 23
2023-05-07T19:25:07.814Z | aDxcQ | user6 | 23
2023-05-07T19:25:07.208Z | aDxcQ | user7 | 23
2023-05-07T19:25:08.212Z | aDxcQ | user7 | 23
2023-05-07T19:25:08.261Z | aDxcQ | user1 | 23
2023-05-07T19:25:08.287Z | aDxcQ | user4 | 26
2023-05-07T19:25:08.325Z | aDxcQ | user16 | 23
2023-05-07T19:25:08.403Z | aDxcQ | user2 | 23
2023-05-07T19:25:08.374Z | aDxcQ | user11 | 29
2023-05-07T19:25:08.501Z | aDxcQ | user0 | 24
2023-05-07T19:25:08.530Z | aDxcQ | user15 | 25
2023-05-07T19:25:08.716Z | aDxcQ | user5 | 23
2023-05-07T19:25:08.725Z | aDxcQ | desmond | 23
2023-05-07T19:25:08.772Z | aDxcQ | user17 | 23
2023-05-07T19:25:08.772Z | aDxcQ | user3 | 23
2023-05-07T19:25:08.821Z | aDxcQ | user6 | 23
2023-05-07T19:25:08.823Z | aDxcQ | user14 | 23
2023-05-07T19:25:09.059Z | aDxcQ | user12 | 23
2023-05-07T19:25:09.218Z | aDxcQ | user7 | 23
2023-05-07T19:25:09.269Z | aDxcQ | user1 | 23
2023-05-07T19:25:09.296Z | aDxcQ | user4 | 26
2023-05-07T19:25:09.333Z | aDxcQ | user16 | 23
2023-05-07T19:25:09.385Z | aDxcQ | user11 | 29
