2023-05-07T18:39:23.189Z | PViyg | mansi | 0
2023-05-07T18:40:03.425Z | PViyg | Desmond | 0
2023-05-07T18:41:54.002Z | PViyg | user3 | 0
2023-05-07T18:41:55.007Z | PViyg | user3 | 0
2023-05-07T18:41:55.191Z | PViyg | user2 | 0
2023-05-07T18:41:55.325Z | PViyg | user0 | 0
2023-05-07T18:41:55.649Z | PViyg | user1 | 0
2023-05-07T18:41:56.018Z | PViyg | user3 | 0
2023-05-07T18:41:56.330Z | PViyg | user0 | 0
2023-05-07T18:41:56.656Z | PViyg | user1 | 0
2023-05-07T18:41:57.024Z | PViyg | user3 | 0
2023-05-07T18:41:57.202Z | PViyg | user2 | 0
2023-05-07T18:41:57.344Z | PViyg | user0 | 0
2023-05-07T18:41:57.659Z | PViyg | user1 | 0
2023-05-07T18:41:58.028Z | PViyg | user3 | 0
2023-05-07T18:41:58.206Z | PViyg | user2 | 0
2023-05-07T18:41:58.671Z | PViyg | user1 | 0
2023-05-07T18:41:59.222Z | PViyg | user2 | 0
2023-05-07T18:42:00.224Z | PViyg | user2 | 0
2023-05-07T18:42:01.229Z | PViyg | user2 | 0
2023-05-07T18:42:05.418Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:05.718Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:06.084Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:06.074Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:05.395Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:06.272Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:06.421Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:06.723Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:07.076Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:07.087Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:06.405Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:07.274Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:07.428Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:07.729Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:08.093Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:08.080Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:07.420Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:08.278Z | PViyg | user2 | 0.00013484704361137274
