2023-05-07T19:02:45.020Z | nDp8H | desmond | 0
2023-05-07T19:03:17.091Z | nDp8H | user3 | 0
2023-05-07T19:03:17.286Z | nDp8H | user1 | 0
2023-05-07T19:03:17.703Z | nDp8H | user4 | 0
2023-05-07T19:03:18.094Z | nDp8H | user3 | 0
2023-05-07T19:03:18.295Z | nDp8H | user1 | 0
2023-05-07T19:03:18.070Z | nDp8H | user0 | 0
2023-05-07T19:03:18.322Z | nDp8H | user2 | 0
2023-05-07T19:03:18.709Z | nDp8H | user4 | 0
2023-05-07T19:03:19.085Z | nDp8H | user0 | 0
2023-05-07T19:03:19.100Z | nDp8H | user3 | 0
2023-05-07T19:03:19.300Z | nDp8H | user1 | 0
2023-05-07T19:03:19.323Z | nDp8H | user2 | 0
2023-05-07T19:03:19.712Z | nDp8H | user4 | 0
2023-05-07T19:03:20.088Z | nDp8H | user0 | 0
2023-05-07T19:03:20.303Z | nDp8H | user1 | 0
2023-05-07T19:03:20.329Z | nDp8H | user2 | 0
2023-05-07T19:03:20.108Z | nDp8H | user3 | 0
2023-05-07T19:03:20.718Z | nDp8H | user4 | 0
2023-05-07T19:03:21.117Z | nDp8H | user3 | 0
2023-05-07T19:03:21.307Z | nDp8H | user1 | 0
2023-05-07T19:03:21.332Z | nDp8H | user2 | 0
2023-05-07T19:03:22.126Z | nDp8H | user3 | 0
2023-05-07T19:03:22.337Z | nDp8H | user2 | 0
2023-05-07T19:03:23.321Z | nDp8H | user1 | 0.00005448358904922085
2023-05-07T19:03:23.355Z | nDp8H | user2 | 0.00004767311944404186
2023-05-07T19:03:24.108Z | nDp8H | user0 | 0.00012122599207422283
2023-05-07T19:03:24.084Z | nDp8H | desmond | 0.00011305328189325466
2023-05-07T19:03:24.134Z | nDp8H | user3 | 0.00014029553035534547
2023-05-07T19:03:23.731Z | nDp8H | user4 | 0.00011169122336918408
2023-05-07T19:03:24.330Z | nDp8H | user1 | 0.00009126061491031835
2023-05-07T19:03:24.366Z | nDp8H | user2 | 0.00010079704225953862
2023-05-07T19:03:24.737Z | nDp8H | user4 | 0.00011169122336918408
2023-05-07T19:03:25.091Z | nDp8H | desmond | 0.00011305328189325466
2023-05-07T19:03:25.141Z | nDp8H | user3 | 0.00014029553035534547
2023-05-07T19:03:25.117Z | nDp8H | user0 | 0.00012122599207422283
2023-05-07T19:03:25.337Z | nDp8H | user1 | 0.00009126061491031835
2023-05-07T19:03:25.372Z | nDp8H | user2 | 0.00010079704225953862
2023-05-07T19:03:25.740Z | nDp8H | user4 | 0.00011169122336918408
2023-05-07T19:03:26.093Z | nDp8H | desmond | 0.00011305328189325466
2023-05-07T19:03:26.124Z | nDp8H | user0 | 0.00012122599207422283
2023-05-07T19:03:26.150Z | nDp8H | user3 | 0.00014029553035534547
2023-05-07T19:03:26.345Z | nDp8H | user1 | 0.00009126061491031835
2023-05-07T19:03:26.380Z | nDp8H | user2 | 0.00010079704225953862
2023-05-07T19:03:26.746Z | nDp8H | user4 | 0.00011169122336918408
2023-05-07T19:03:27.098Z | nDp8H | desmond | 0.00011305328189325466
2023-05-07T19:03:27.132Z | nDp8H | user0 | 0.00012122599207422283
2023-05-07T19:03:27.157Z | nDp8H | user3 | 0.00014029553035534547
2023-05-07T19:03:27.353Z | nDp8H | user1 | 0.00009126061491031835
2023-05-07T19:03:27.387Z | nDp8H | user2 | 0.00010079704225953862
2023-05-07T19:03:27.749Z | nDp8H | user4 | 0.00011169122336918408
2023-05-07T19:03:28.101Z | nDp8H | desmond | 0.00011305328189325466
2023-05-07T19:03:28.135Z | nDp8H | user0 | 0.00012122599207422283
2023-05-07T19:03:28.160Z | nDp8H | user3 | 0.00014029553035534547
2023-05-07T19:03:28.365Z | nDp8H | user1 | 0.00009126061491031835
2023-05-07T19:03:28.397Z | nDp8H | user2 | 0.00010079704225953862
2023-05-07T19:03:28.757Z | nDp8H | user4 | 0.00011169122336918408
2023-05-07T19:03:29.145Z | nDp8H | user0 | 0.00012122599207422283
2023-05-07T19:03:29.134Z | nDp8H | desmond | 0.00011305328189325466
2023-05-07T19:03:29.170Z | nDp8H | user3 | 0.00014029553035534547
2023-05-07T19:03:29.369Z | nDp8H | user1 | 0.00009126061491031835
2023-05-07T19:03:29.404Z | nDp8H | user2 | 0.00010079704225953862
2023-05-07T19:03:29.764Z | nDp8H | user4 | 0.00011169122336918408
2023-05-07T19:03:30.147Z | nDp8H | user0 | 0.00012122599207422283
2023-05-07T19:03:30.153Z | nDp8H | desmond | 0.00011305328189325466
2023-05-07T19:03:30.180Z | nDp8H | user3 | 0.00014029553035534547
2023-05-07T19:03:30.376Z | nDp8H | user1 | 0.00009126061491031835
2023-05-07T19:03:30.410Z | nDp8H | user2 | 0.00010079704225953862
2023-05-07T19:03:30.773Z | nDp8H | user4 | 0.00011169122336918408
2023-05-07T19:03:31.152Z | nDp8H | user0 | 0.00012122599207422283
2023-05-07T19:03:31.162Z | nDp8H | desmond | 0.00011305328189325466
2023-05-07T19:03:31.187Z | nDp8H | user3 | 0.00014029553035534547
2023-05-07T19:03:31.379Z | nDp8H | user1 | 0.00009126061491031835
2023-05-07T19:03:31.413Z | nDp8H | user2 | 0.00010079704225953862
2023-05-07T19:03:31.777Z | nDp8H | user4 | 0.00011169122336918408
2023-05-07T19:03:32.156Z | nDp8H | user0 | 0.00012122599207422283
2023-05-07T19:03:32.187Z | nDp8H | desmond | 0.00011305328189325466
2023-05-07T19:03:32.197Z | nDp8H | user3 | 0.00014029553035534547
2023-05-07T19:03:32.384Z | nDp8H | user1 | 0.00009126061491031835
2023-05-07T19:03:32.420Z | nDp8H | user2 | 0.00010079704225953862
2023-05-07T19:03:32.789Z | nDp8H | user4 | 0.00011169122336918408
2023-05-07T19:03:33.161Z | nDp8H | user0 | 0.00012122599207422283
2023-05-07T19:03:33.206Z | nDp8H | user3 | 0.00014029553035534547
2023-05-07T19:03:33.203Z | nDp8H | desmond | 0.00011305328189325466
2023-05-07T19:03:33.389Z | nDp8H | user1 | 0.00009126061491031835
2023-05-07T19:03:33.423Z | nDp8H | user2 | 0.00010079704225953862
2023-05-07T19:03:33.798Z | nDp8H | user4 | 0.00011169122336918408
2023-05-07T19:03:34.167Z | nDp8H | user0 | 0.00012122599207422283
2023-05-07T19:03:34.222Z | nDp8H | desmond | 0.00011305328189325466
2023-05-07T19:03:34.214Z | nDp8H | user3 | 0.00014029553035534547
2023-05-07T19:03:34.392Z | nDp8H | user1 | 0.00009126061491031835
2023-05-07T19:03:34.426Z | nDp8H | user2 | 0.00010079704225953862
2023-05-07T19:03:34.804Z | nDp8H | user4 | 0.00011169122336918408
2023-05-07T19:03:35.171Z | nDp8H | user0 | 0.00012122599207422283
2023-05-07T19:03:35.221Z | nDp8H | user3 | 0.00014029553035534547
2023-05-07T19:03:35.244Z | nDp8H | desmond | 0.00011305328189325466
2023-05-07T19:03:35.398Z | nDp8H | user1 | 0.00009126061491031835
2023-05-07T19:03:35.434Z | nDp8H | user2 | 0.00010079704225953862
2023-05-07T19:03:35.811Z | nDp8H | user4 | 0.00011169122336918408
2023-05-07T19:03:36.178Z | nDp8H | user0 | 0.00012122599207422283
2023-05-07T19:03:36.228Z | nDp8H | user3 | 0.00014029553035534547
2023-05-07T19:03:36.260Z | nDp8H | desmond | 0.00011305328189325466
2023-05-07T19:03:36.407Z | nDp8H | user1 | 0.00009126061491031835
2023-05-07T19:03:36.441Z | nDp8H | user2 | 0.00010079704225953862
2023-05-07T19:03:36.820Z | nDp8H | user4 | 0.00011169122336918408
2023-05-07T19:03:37.181Z | nDp8H | user0 | 0.00012122599207422283
2023-05-07T19:03:37.238Z | nDp8H | user3 | 0.00014029553035534547
2023-05-07T19:03:37.287Z | nDp8H | desmond | 0.00011305328189325466
2023-05-07T19:03:37.416Z | nDp8H | user1 | 0.00009126061491031835
2023-05-07T19:03:37.450Z | nDp8H | user2 | 0.00010079704225953862
2023-05-07T19:03:37.829Z | nDp8H | user4 | 0.00011169122336918408
2023-05-07T19:03:38.190Z | nDp8H | user0 | 0.00012122599207422283
2023-05-07T19:03:38.247Z | nDp8H | user3 | 0.00014029553035534547
2023-05-07T19:03:38.311Z | nDp8H | desmond | 0.00011305328189325466
2023-05-07T19:03:38.453Z | nDp8H | user2 | 0.00010079704225953862
2023-05-07T19:03:38.426Z | nDp8H | user1 | 0.00009126061491031835
2023-05-07T19:03:38.833Z | nDp8H | user4 | 0.00011169122336918408
2023-05-07T19:03:39.194Z | nDp8H | user0 | 0.00012122599207422283
2023-05-07T19:03:39.254Z | nDp8H | user3 | 0.00014029553035534547
2023-05-07T19:03:39.332Z | nDp8H | desmond | 0.00011305328189325466
2023-05-07T19:03:39.431Z | nDp8H | user1 | 0.00009126061491031835
2023-05-07T19:03:39.458Z | nDp8H | user2 | 0.00010079704225953862
2023-05-07T19:03:39.842Z | nDp8H | user4 | 0.00011169122336918408
2023-05-07T19:03:40.203Z | nDp8H | user0 | 0.00012122599207422283
2023-05-07T19:03:40.260Z | nDp8H | user3 | 0.00014029553035534547
2023-05-07T19:03:40.348Z | nDp8H | desmond | 0.00011305328189325466
2023-05-07T19:03:40.440Z | nDp8H | user1 | 0.00009126061491031835
2023-05-07T19:03:40.466Z | nDp8H | user2 | 0.00010079704225953862
2023-05-07T19:03:40.850Z | nDp8H | user4 | 0.00011169122336918408
2023-05-07T19:03:41.208Z | nDp8H | user0 | 0.00012122599207422283
2023-05-07T19:03:41.265Z | nDp8H | user3 | 0.00014029553035534547
2023-05-07T19:03:41.372Z | nDp8H | desmond | 0.00011305328189325466
2023-05-07T19:03:41.445Z | nDp8H | user1 | 0.00009126061491031835
2023-05-07T19:03:41.472Z | nDp8H | user2 | 0.00010079704225953862
