2023-05-07T19:10:50.388Z | mtYK9 | desmond | 0
2023-05-07T19:11:14.086Z | mtYK9 | user2 | 0
2023-05-07T19:11:14.550Z | mtYK9 | user7 | 0
2023-05-07T19:11:14.637Z | mtYK9 | user3 | 0
2023-05-07T19:11:14.638Z | mtYK9 | user1 | 0
2023-05-07T19:11:15.557Z | mtYK9 | user7 | 0
2023-05-07T19:11:15.641Z | mtYK9 | user1 | 0
2023-05-07T19:11:15.641Z | mtYK9 | user3 | 0
2023-05-07T19:11:16.102Z | mtYK9 | user2 | 0
2023-05-07T19:11:15.865Z | mtYK9 | user8 | 0
2023-05-07T19:11:16.647Z | mtYK9 | user1 | 0
2023-05-07T19:11:16.295Z | mtYK9 | user5 | 0
2023-05-07T19:11:16.868Z | mtYK9 | user8 | 0
2023-05-07T19:11:16.566Z | mtYK9 | user7 | 0
2023-05-07T19:11:16.525Z | mtYK9 | user6 | 0
2023-05-07T19:11:17.109Z | mtYK9 | user2 | 0
2023-05-07T19:11:16.645Z | mtYK9 | user3 | 0
2023-05-07T19:11:17.533Z | mtYK9 | user6 | 0
2023-05-07T19:11:17.573Z | mtYK9 | user7 | 0
2023-05-07T19:11:17.649Z | mtYK9 | user3 | 0
2023-05-07T19:11:17.658Z | mtYK9 | user1 | 0
2023-05-07T19:11:17.336Z | mtYK9 | user4 | 0
2023-05-07T19:11:17.874Z | mtYK9 | user8 | 0
2023-05-07T19:11:18.130Z | mtYK9 | user2 | 0
2023-05-07T19:11:18.302Z | mtYK9 | user5 | 0
2023-05-07T19:11:18.339Z | mtYK9 | user4 | 0
2023-05-07T19:11:18.579Z | mtYK9 | user7 | 0
2023-05-07T19:11:18.535Z | mtYK9 | user6 | 0
2023-05-07T19:11:18.654Z | mtYK9 | user3 | 0
2023-05-07T19:11:18.881Z | mtYK9 | user8 | 0
2023-05-07T19:11:19.139Z | mtYK9 | user2 | 0
2023-05-07T19:11:19.313Z | mtYK9 | user5 | 0
2023-05-07T19:11:19.350Z | mtYK9 | user4 | 0
2023-05-07T19:11:19.543Z | mtYK9 | user6 | 0
2023-05-07T19:11:19.582Z | mtYK9 | user7 | 0
2023-05-07T19:11:19.883Z | mtYK9 | user8 | 0
2023-05-07T19:11:20.147Z | mtYK9 | user2 | 0
2023-05-07T19:11:20.317Z | mtYK9 | user5 | 0
2023-05-07T19:11:20.353Z | mtYK9 | user4 | 0
2023-05-07T19:11:20.546Z | mtYK9 | user6 | 0
2023-05-07T19:11:20.897Z | mtYK9 | user8 | 0
2023-05-07T19:11:21.150Z | mtYK9 | user2 | 0
2023-05-07T19:11:21.331Z | mtYK9 | user5 | 0
2023-05-07T19:11:21.553Z | mtYK9 | user6 | 0
2023-05-07T19:11:22.159Z | mtYK9 | user2 | 0
2023-05-07T19:11:22.333Z | mtYK9 | user5 | 0
2023-05-07T19:11:55.045Z | mtYK9 | user0 | 0
2023-05-07T19:12:33.893Z | mtYK9 | user1 | 0
2023-05-07T19:12:34.256Z | mtYK9 | user8 | 0
2023-05-07T19:12:34.468Z | mtYK9 | user6 | 0
2023-05-07T19:12:35.260Z | mtYK9 | user8 | 0
2023-05-07T19:12:36.267Z | mtYK9 | user8 | 0
2023-05-07T19:12:57.047Z | mtYK9 | user7 | 0
2023-05-07T19:12:57.053Z | mtYK9 | user3 | 0
2023-05-07T19:12:57.308Z | mtYK9 | user0 | 0
2023-05-07T19:12:57.412Z | mtYK9 | user6 | 0
2023-05-07T19:12:57.453Z | mtYK9 | user2 | 0
2023-05-07T19:12:57.481Z | mtYK9 | user1 | 0
2023-05-07T19:12:58.061Z | mtYK9 | user7 | 0
2023-05-07T19:12:57.747Z | mtYK9 | user8 | 0
2023-05-07T19:12:57.844Z | mtYK9 | user9 | 0
2023-05-07T19:12:58.315Z | mtYK9 | user0 | 0
2023-05-07T19:12:58.414Z | mtYK9 | user6 | 0
2023-05-07T19:12:58.490Z | mtYK9 | user1 | 0
