2023-05-07T19:23:54.644Z | aDxcQ | desmond | 0
2023-05-07T19:24:22.630Z | aDxcQ | user16 | 0
2023-05-07T19:24:22.592Z | aDxcQ | user2 | 0
2023-05-07T19:24:22.276Z | aDxcQ | user5 | 0
2023-05-07T19:24:23.290Z | aDxcQ | user5 | 0
2023-05-07T19:24:23.617Z | aDxcQ | user2 | 0
2023-05-07T19:24:24.300Z | aDxcQ | user5 | 0
2023-05-07T19:24:24.627Z | aDxcQ | user2 | 0
2023-05-07T19:24:24.645Z | aDxcQ | user16 | 0
2023-05-07T19:24:22.852Z | aDxcQ | user15 | 0
2023-05-07T19:24:25.304Z | aDxcQ | user5 | 0
2023-05-07T19:24:23.564Z | aDxcQ | user4 | 0
2023-05-07T19:24:24.599Z | aDxcQ | user4 | 0
2023-05-07T19:24:25.630Z | aDxcQ | user2 | 0
2023-05-07T19:24:25.703Z | aDxcQ | user16 | 0
2023-05-07T19:24:24.393Z | aDxcQ | user6 | 0
2023-05-07T19:24:26.637Z | aDxcQ | user2 | 0
2023-05-07T19:24:25.408Z | aDxcQ | user6 | 0
2023-05-07T19:24:26.705Z | aDxcQ | user16 | 0
2023-05-07T19:24:25.407Z | aDxcQ | user17 | 0
2023-05-07T19:24:26.418Z | aDxcQ | user6 | 0
2023-05-07T19:24:27.420Z | aDxcQ | user6 | 0
2023-05-07T19:24:27.419Z | aDxcQ | user17 | 0
2023-05-07T19:24:26.383Z | aDxcQ | user14 | 0
2023-05-07T19:24:26.387Z | aDxcQ | user3 | 0
2023-05-07T19:24:28.400Z | aDxcQ | user14 | 0
2023-05-07T19:24:28.405Z | aDxcQ | user3 | 0
2023-05-07T19:24:29.420Z | aDxcQ | user14 | 0
2023-05-07T19:24:29.435Z | aDxcQ | user3 | 0
2023-05-07T19:24:28.426Z | aDxcQ | user17 | 0
2023-05-07T19:24:29.446Z | aDxcQ | user17 | 0
2023-05-07T19:24:27.663Z | aDxcQ | user12 | 0
2023-05-07T19:24:29.683Z | aDxcQ | user12 | 0
2023-05-07T19:24:30.434Z | aDxcQ | user14 | 0
2023-05-07T19:24:30.447Z | aDxcQ | user3 | 0
2023-05-07T19:24:30.461Z | aDxcQ | user17 | 0
2023-05-07T19:24:30.690Z | aDxcQ | user12 | 0
2023-05-07T19:24:28.671Z | aDxcQ | user12 | 0
2023-05-07T19:24:31.458Z | aDxcQ | user3 | 0
2023-05-07T19:24:31.473Z | aDxcQ | user17 | 0
2023-05-07T19:24:31.444Z | aDxcQ | user14 | 0
2023-05-07T19:24:29.950Z | aDxcQ | user1 | 0
2023-05-07T19:24:31.697Z | aDxcQ | user12 | 0
2023-05-07T19:24:29.642Z | aDxcQ | user7 | 0
2023-05-07T19:24:30.956Z | aDxcQ | user1 | 0
2023-05-07T19:24:32.455Z | aDxcQ | user14 | 0
2023-05-07T19:24:32.469Z | aDxcQ | user3 | 0
2023-05-07T19:24:30.661Z | aDxcQ | user7 | 0
2023-05-07T19:24:31.664Z | aDxcQ | user7 | 0
2023-05-07T19:24:32.701Z | aDxcQ | user12 | 0
2023-05-07T19:24:32.962Z | aDxcQ | user1 | 0
2023-05-07T19:24:32.679Z | aDxcQ | user7 | 0
2023-05-07T19:24:32.478Z | aDxcQ | user17 | 0
2023-05-07T19:24:33.483Z | aDxcQ | user17 | 0
2023-05-07T19:24:33.683Z | aDxcQ | user7 | 0
2023-05-07T19:24:33.705Z | aDxcQ | user12 | 0
2023-05-07T19:24:33.968Z | aDxcQ | user1 | 0
2023-05-07T19:24:33.474Z | aDxcQ | user3 | 0
2023-05-07T19:24:33.464Z | aDxcQ | user14 | 0
2023-05-07T19:24:34.687Z | aDxcQ | user7 | 0
2023-05-07T19:24:34.969Z | aDxcQ | user1 | 0
2023-05-07T19:24:34.466Z | aDxcQ | user14 | 0
2023-05-07T19:24:34.479Z | aDxcQ | user3 | 0
2023-05-07T19:24:35.483Z | aDxcQ | user3 | 0
2023-05-07T19:24:35.472Z | aDxcQ | user14 | 0
2023-05-07T19:24:35.984Z | aDxcQ | user1 | 0
2023-05-07T19:24:36.988Z | aDxcQ | user1 | 0
2023-05-07T19:24:36.225Z | aDxcQ | user0 | 0
2023-05-07T19:24:37.996Z | aDxcQ | user11 | 0
2023-05-07T19:25:06.251Z | aDxcQ | user1 | 0.00029421145380090913
2023-05-07T19:25:06.513Z | aDxcQ | user15 | 0
2023-05-07T19:25:06.487Z | aDxcQ | user0 | 0.0005461975836823665
2023-05-07T19:25:06.760Z | aDxcQ | user17 | 0.00003269014741839913
2023-05-07T19:25:07.255Z | aDxcQ | user1 | 0.00006265599401536096
2023-05-07T19:25:06.660Z | aDxcQ | user5 | 0.00005857052653083578
2023-05-07T19:25:07.497Z | aDxcQ | user0 | 0.0001103291463998892
2023-05-07T19:25:07.520Z | aDxcQ | user15 | 0.000042224733028949485
2023-05-07T19:25:07.765Z | aDxcQ | user17 | 0.00020023018980221512
2023-05-07T19:25:07.710Z | aDxcQ | user5 | 0.00011305353351100491
2023-05-07T19:25:07.285Z | aDxcQ | user4 | 0.00007219137458300985
2023-05-07T19:25:06.711Z | aDxcQ | desmond | 0.0001770713547257659
2023-05-07T19:25:06.757Z | aDxcQ | user3 | 0.0001389392534223173
2023-05-07T19:25:07.817Z | aDxcQ | user6 | 0.00016073143263011126
2023-05-07T19:25:06.806Z | aDxcQ | user14 | 0.0001089669241471543
2023-05-07T19:25:07.209Z | aDxcQ | user7 | 0.000028603815328897415
2023-05-07T19:25:07.372Z | aDxcQ | user11 | 0.00006946687759207991
2023-05-07T19:25:07.399Z | aDxcQ | user2 | 0.000028604365389025174
2023-05-07T19:25:07.320Z | aDxcQ | user16 | 0.000024517726545805776
2023-05-07T19:25:07.720Z | aDxcQ | desmond | 0.0001770713547257659
2023-05-07T19:25:08.054Z | aDxcQ | user12 | 0.00018524852383487874
2023-05-07T19:25:07.818Z | aDxcQ | user14 | 0.000023155547297712285
2023-05-07T19:25:07.765Z | aDxcQ | user3 | 0.00006810436284230539
2023-05-07T19:25:07.045Z | aDxcQ | user12 | 0.00018524852383487874
2023-05-07T19:25:08.261Z | aDxcQ | user1 | 0.00006265599401536096
2023-05-07T19:25:08.288Z | aDxcQ | user4 | 0.00007219137458300985
2023-05-07T19:25:08.212Z | aDxcQ | user7 | 0.000028603815328897415
2023-05-07T19:25:08.375Z | aDxcQ | user11 | 0.00006946687759207991
2023-05-07T19:25:08.325Z | aDxcQ | user16 | 0.000024517726545805776
2023-05-07T19:25:08.404Z | aDxcQ | user2 | 0.000028604365389025174
2023-05-07T19:25:08.502Z | aDxcQ | user0 | 0.0001103291463998892
2023-05-07T19:25:08.531Z | aDxcQ | user15 | 0.000042224733028949485
2023-05-07T19:25:08.717Z | aDxcQ | user5 | 0.00011305353351100491
2023-05-07T19:25:08.725Z | aDxcQ | desmond | 0.0001770713547257659
2023-05-07T19:25:08.772Z | aDxcQ | user17 | 0.00020023018980221512
2023-05-07T19:25:08.772Z | aDxcQ | user3 | 0.00006810436284230539
2023-05-07T19:25:08.823Z | aDxcQ | user14 | 0.000023155547297712285
2023-05-07T19:25:08.822Z | aDxcQ | user6 | 0.00016073143263011126
2023-05-07T19:25:09.059Z | aDxcQ | user12 | 0.00018524852383487874
2023-05-07T19:25:09.219Z | aDxcQ | user7 | 0.000028603815328897415
2023-05-07T19:25:09.270Z | aDxcQ | user1 | 0.00006265599401536096
2023-05-07T19:25:09.297Z | aDxcQ | user4 | 0.00007219137458300985
2023-05-07T19:25:09.334Z | aDxcQ | user16 | 0.000024517726545805776
2023-05-07T19:25:09.386Z | aDxcQ | user11 | 0.00006946687759207991
2023-05-07T19:25:09.417Z | aDxcQ | user2 | 0.000028604365389025174
2023-05-07T19:25:09.509Z | aDxcQ | user0 | 0.0001103291463998892
2023-05-07T19:25:09.539Z | aDxcQ | user15 | 0.000042224733028949485
2023-05-07T19:25:09.725Z | aDxcQ | user5 | 0.00011305353351100491
2023-05-07T19:25:09.735Z | aDxcQ | desmond | 0.0001770713547257659
2023-05-07T19:25:09.781Z | aDxcQ | user17 | 0.00020023018980221512
2023-05-07T19:25:09.781Z | aDxcQ | user3 | 0.00006810436284230539
2023-05-07T19:25:09.832Z | aDxcQ | user14 | 0.000023155547297712285
2023-05-07T19:25:09.835Z | aDxcQ | user6 | 0.00016073143263011126
2023-05-07T19:25:10.062Z | aDxcQ | user12 | 0.00018524852383487874
2023-05-07T19:25:10.229Z | aDxcQ | user7 | 0.000028603815328897415
2023-05-07T19:25:10.279Z | aDxcQ | user1 | 0.00006265599401536096
2023-05-07T19:25:10.305Z | aDxcQ | user4 | 0.00007219137458300985
2023-05-07T19:25:10.343Z | aDxcQ | user16 | 0.000024517726545805776
2023-05-07T19:25:10.392Z | aDxcQ | user11 | 0.00006946687759207991
2023-05-07T19:25:10.422Z | aDxcQ | user2 | 0.000028604365389025174
2023-05-07T19:25:10.513Z | aDxcQ | user0 | 0.0001103291463998892
2023-05-07T19:25:10.553Z | aDxcQ | user15 | 0.000042224733028949485
2023-05-07T19:25:10.765Z | aDxcQ | desmond | 0.0001770713547257659
2023-05-07T19:25:10.733Z | aDxcQ | user5 | 0.00011305353351100491
2023-05-07T19:25:10.785Z | aDxcQ | user17 | 0.00020023018980221512
2023-05-07T19:25:10.785Z | aDxcQ | user3 | 0.00006810436284230539
2023-05-07T19:25:10.836Z | aDxcQ | user14 | 0.000023155547297712285
2023-05-07T19:25:10.838Z | aDxcQ | user6 | 0.00016073143263011126
2023-05-07T19:25:11.071Z | aDxcQ | user12 | 0.00018524852383487874
2023-05-07T19:25:11.234Z | aDxcQ | user7 | 0.000028603815328897415
2023-05-07T19:25:11.285Z | aDxcQ | user1 | 0.00006265599401536096
2023-05-07T19:25:11.319Z | aDxcQ | user4 | 0.00007219137458300985
2023-05-07T19:25:11.352Z | aDxcQ | user16 | 0.000024517726545805776
2023-05-07T19:25:11.403Z | aDxcQ | user11 | 0.00006946687759207991
2023-05-07T19:25:11.434Z | aDxcQ | user2 | 0.000028604365389025174
