2023-05-07T18:10:41.873Z | DsU04 | user0 | play
2023-05-07T18:10:41.100Z | DsU04 | desmond | play
2023-05-07T18:10:53.733Z | DsU04 | user0 | pause
2023-05-07T18:10:52.852Z | DsU04 | desmond | pause
2023-05-07T18:11:03.051Z | DsU04 | user0 | play
2023-05-07T18:11:02.260Z | DsU04 | desmond | play
2023-05-07T18:11:09.909Z | DsU04 | desmond | pause
2023-05-07T18:11:10.852Z | DsU04 | user0 | pause
2023-05-07T18:11:22.765Z | DsU04 | user0 | play
2023-05-07T18:11:21.836Z | DsU04 | desmond | play
2023-05-07T18:11:36.619Z | DsU04 | desmond | pause
2023-05-07T18:11:37.566Z | DsU04 | user0 | pause
2023-05-07T18:11:44.012Z | DsU04 | desmond | play
2023-05-07T18:11:44.950Z | DsU04 | user0 | play
2023-05-07T18:11:55.525Z | DsU04 | user0 | pause
2023-05-07T18:11:54.637Z | DsU04 | desmond | pause
2023-05-07T18:12:05.494Z | DsU04 | user0 | play
2023-05-07T18:12:04.650Z | DsU04 | desmond | play
2023-05-07T18:12:16.582Z | DsU04 | user0 | pause
2023-05-07T18:12:15.783Z | DsU04 | desmond | pause
2023-05-07T18:12:36.652Z | DsU04 | user0 | play
2023-05-07T18:12:35.774Z | DsU04 | desmond | play
2023-05-07T18:12:51.268Z | DsU04 | user0 | pause
2023-05-07T18:12:50.499Z | DsU04 | desmond | pause
2023-05-07T18:13:01.468Z | DsU04 | user0 | play
2023-05-07T18:13:00.742Z | DsU04 | desmond | play
2023-05-07T18:13:11.804Z | DsU04 | user0 | pause
2023-05-07T18:13:10.919Z | DsU04 | desmond | pause
2023-05-07T18:13:12.250Z | DsU04 | user0 | play
2023-05-07T18:13:11.396Z | DsU04 | desmond | play
2023-05-07T18:13:24.771Z | DsU04 | user0 | pause
2023-05-07T18:13:23.948Z | DsU04 | desmond | pause
2023-05-07T18:14:00.118Z | DsU04 | user0 | play
2023-05-07T18:13:59.303Z | DsU04 | desmond | play
2023-05-07T18:14:04.333Z | DsU04 | user0 | pause
2023-05-07T18:14:23.979Z | DsU04 | desmond | pause
2023-05-07T18:14:24.939Z | DsU04 | user0 | play
2023-05-07T18:14:24.064Z | DsU04 | desmond | play
2023-05-07T18:14:47.281Z | DsU04 | user0 | pause
2023-05-07T18:14:46.425Z | DsU04 | desmond | pause
2023-05-07T18:14:54.313Z | DsU04 | user0 | play
2023-05-07T18:14:53.435Z | DsU04 | desmond | play
2023-05-07T18:15:16.835Z | DsU04 | desmond | pause
2023-05-07T18:15:17.776Z | DsU04 | user0 | pause
2023-05-07T18:15:16.921Z | DsU04 | desmond | play
2023-05-07T18:15:17.888Z | DsU04 | user0 | play
2023-05-07T18:15:25.199Z | DsU04 | user0 | pause
2023-05-07T18:15:24.405Z | DsU04 | desmond | pause
