2023-05-07T18:42:05.111Z | PViyg | mansi | play
2023-05-07T18:42:05.146Z | PViyg | user2 | play
2023-05-07T18:42:05.147Z | PViyg | user0 | play
2023-05-07T18:42:05.143Z | PViyg | user1 | play
2023-05-07T18:42:04.492Z | PViyg | Desmond | play
2023-05-07T18:42:05.147Z | PViyg | user3 | play
2023-05-07T18:42:38.022Z | PViyg | user0 | pause
2023-05-07T18:42:38.039Z | PViyg | user3 | pause
2023-05-07T18:42:38.048Z | PViyg | user2 | pause
2023-05-07T18:42:38.062Z | PViyg | mansi | pause
2023-05-07T18:42:38.043Z | PViyg | user1 | pause
2023-05-07T18:42:37.348Z | PViyg | Desmond | pause
2023-05-07T18:42:50.062Z | PViyg | user0 | play
2023-05-07T18:42:50.106Z | PViyg | user1 | play
2023-05-07T18:42:50.091Z | PViyg | user3 | play
2023-05-07T18:42:50.095Z | PViyg | mansi | play
2023-05-07T18:42:50.096Z | PViyg | user2 | play
2023-05-07T18:42:49.442Z | PViyg | Desmond | play
2023-05-07T18:43:15.754Z | PViyg | user0 | pause
2023-05-07T18:43:15.760Z | PViyg | user1 | pause
2023-05-07T18:43:15.742Z | PViyg | mansi | pause
2023-05-07T18:43:15.756Z | PViyg | user2 | pause
2023-05-07T18:43:15.757Z | PViyg | user3 | pause
2023-05-07T18:43:15.020Z | PViyg | Desmond | pause
2023-05-07T18:43:29.009Z | PViyg | Desmond | play
2023-05-07T18:43:29.835Z | PViyg | mansi | play
2023-05-07T18:43:29.891Z | PViyg | user3 | play
2023-05-07T18:43:29.940Z | PViyg | user1 | play
2023-05-07T18:43:29.891Z | PViyg | user2 | play
2023-05-07T18:43:29.872Z | PViyg | user0 | play
2023-05-07T18:43:45.057Z | PViyg | user0 | pause
2023-05-07T18:43:45.096Z | PViyg | user3 | pause
2023-05-07T18:43:45.104Z | PViyg | user2 | pause
2023-05-07T18:43:45.110Z | PViyg | user1 | pause
2023-05-07T18:43:45.114Z | PViyg | mansi | pause
2023-05-07T18:43:44.412Z | PViyg | Desmond | pause
2023-05-07T18:44:11.905Z | PViyg | user1 | play
2023-05-07T18:44:11.931Z | PViyg | user2 | play
2023-05-07T18:44:11.936Z | PViyg | user0 | play
2023-05-07T18:44:11.940Z | PViyg | mansi | play
2023-05-07T18:44:12.022Z | PViyg | user3 | play
2023-05-07T18:44:11.254Z | PViyg | Desmond | play
2023-05-07T18:44:27.895Z | PViyg | user1 | pause
2023-05-07T18:44:27.911Z | PViyg | user2 | pause
2023-05-07T18:44:27.910Z | PViyg | mansi | pause
2023-05-07T18:44:27.916Z | PViyg | user3 | pause
2023-05-07T18:44:27.140Z | PViyg | Desmond | pause
2023-05-07T18:44:27.920Z | PViyg | user0 | pause
2023-05-07T18:44:40.968Z | PViyg | user1 | play
2023-05-07T18:44:41.037Z | PViyg | user0 | play
2023-05-07T18:44:40.280Z | PViyg | Desmond | play
2023-05-07T18:44:41.045Z | PViyg | user2 | play
2023-05-07T18:44:41.050Z | PViyg | user3 | play
2023-05-07T18:44:41.069Z | PViyg | mansi | play
2023-05-07T18:45:17.201Z | PViyg | Desmond | pause
2023-05-07T18:45:18.066Z | PViyg | user1 | pause
2023-05-07T18:45:18.028Z | PViyg | user2 | pause
2023-05-07T18:45:18.025Z | PViyg | user0 | pause
2023-05-07T18:45:18.024Z | PViyg | mansi | pause
2023-05-07T18:45:18.021Z | PViyg | user3 | pause
