2023-05-07T19:03:23.243Z | nDp8H | user0 | play
2023-05-07T19:03:23.242Z | nDp8H | user1 | play
2023-05-07T19:03:23.150Z | nDp8H | desmond | play
2023-05-07T19:03:23.244Z | nDp8H | user4 | play
2023-05-07T19:03:23.244Z | nDp8H | user3 | play
2023-05-07T19:03:23.248Z | nDp8H | user2 | play
2023-05-07T19:03:45.575Z | nDp8H | user4 | pause
2023-05-07T19:03:45.638Z | nDp8H | user0 | pause
2023-05-07T19:03:45.637Z | nDp8H | desmond | pause
2023-05-07T19:03:45.636Z | nDp8H | user3 | pause
2023-05-07T19:03:45.636Z | nDp8H | user1 | pause
2023-05-07T19:03:45.641Z | nDp8H | user2 | pause
2023-05-07T19:04:00.649Z | nDp8H | user4 | play
2023-05-07T19:04:00.715Z | nDp8H | user2 | play
2023-05-07T19:04:00.729Z | nDp8H | user3 | play
2023-05-07T19:04:00.718Z | nDp8H | user0 | play
2023-05-07T19:04:00.713Z | nDp8H | desmond | play
2023-05-07T19:04:00.780Z | nDp8H | user1 | play
2023-05-07T19:04:13.521Z | nDp8H | user4 | pause
2023-05-07T19:04:13.581Z | nDp8H | user0 | pause
2023-05-07T19:04:13.579Z | nDp8H | user2 | pause
2023-05-07T19:04:13.596Z | nDp8H | desmond | pause
2023-05-07T19:04:13.601Z | nDp8H | user3 | pause
2023-05-07T19:04:13.580Z | nDp8H | user1 | pause
2023-05-07T19:04:24.218Z | nDp8H | user4 | play
2023-05-07T19:04:24.281Z | nDp8H | user0 | play
2023-05-07T19:04:24.279Z | nDp8H | user3 | play
2023-05-07T19:04:24.280Z | nDp8H | user1 | play
2023-05-07T19:04:24.289Z | nDp8H | desmond | play
2023-05-07T19:04:24.280Z | nDp8H | user2 | play
2023-05-07T19:04:43.661Z | nDp8H | user4 | pause
2023-05-07T19:04:43.712Z | nDp8H | desmond | pause
2023-05-07T19:04:43.713Z | nDp8H | user0 | pause
2023-05-07T19:04:43.713Z | nDp8H | user3 | pause
2023-05-07T19:04:43.710Z | nDp8H | user1 | pause
2023-05-07T19:04:43.722Z | nDp8H | user2 | pause
2023-05-07T19:04:55.171Z | nDp8H | user4 | play
2023-05-07T19:04:55.212Z | nDp8H | user0 | play
2023-05-07T19:04:55.209Z | nDp8H | desmond | play
2023-05-07T19:04:55.212Z | nDp8H | user2 | play
2023-05-07T19:04:55.206Z | nDp8H | user1 | play
2023-05-07T19:04:55.213Z | nDp8H | user3 | play
2023-05-07T19:06:05.779Z | nDp8H | desmond | pause
2023-05-07T19:06:05.846Z | nDp8H | user0 | pause
2023-05-07T19:06:05.844Z | nDp8H | user1 | pause
2023-05-07T19:06:05.846Z | nDp8H | user3 | pause
2023-05-07T19:06:05.847Z | nDp8H | user4 | pause
2023-05-07T19:06:05.931Z | nDp8H | user2 | pause
2023-05-07T19:06:20.776Z | nDp8H | user4 | play
2023-05-07T19:06:20.834Z | nDp8H | desmond | play
2023-05-07T19:06:20.835Z | nDp8H | user1 | play
2023-05-07T19:06:20.831Z | nDp8H | user3 | play
2023-05-07T19:06:20.830Z | nDp8H | user2 | play
2023-05-07T19:06:20.848Z | nDp8H | user0 | play
2023-05-07T19:06:43.003Z | nDp8H | user4 | pause
2023-05-07T19:06:43.028Z | nDp8H | user1 | pause
2023-05-07T19:06:43.030Z | nDp8H | user0 | pause
2023-05-07T19:06:43.028Z | nDp8H | user2 | pause
2023-05-07T19:06:43.028Z | nDp8H | user3 | pause
2023-05-07T19:06:43.029Z | nDp8H | desmond | pause
2023-05-07T19:06:49.088Z | nDp8H | user4 | play
2023-05-07T19:06:49.128Z | nDp8H | desmond | play
2023-05-07T19:06:49.154Z | nDp8H | user1 | play
2023-05-07T19:06:49.125Z | nDp8H | user0 | play
2023-05-07T19:06:49.154Z | nDp8H | user2 | play
2023-05-07T19:06:49.124Z | nDp8H | user3 | play
2023-05-07T19:07:06.126Z | nDp8H | desmond | pause
2023-05-07T19:07:06.176Z | nDp8H | user0 | pause
2023-05-07T19:07:06.177Z | nDp8H | user4 | pause
2023-05-07T19:07:06.177Z | nDp8H | user1 | pause
2023-05-07T19:07:06.181Z | nDp8H | user2 | pause
2023-05-07T19:07:06.186Z | nDp8H | user3 | pause
