2023-05-07T19:13:34.867Z | mtYK9 | desmond | play
2023-05-07T19:13:34.891Z | mtYK9 | user1 | play
2023-05-07T19:13:34.876Z | mtYK9 | user2 | play
2023-05-07T19:13:34.930Z | mtYK9 | user7 | play
2023-05-07T19:13:34.909Z | mtYK9 | user9 | play
2023-05-07T19:13:34.915Z | mtYK9 | user0 | play
2023-05-07T19:13:34.909Z | mtYK9 | user3 | play
2023-05-07T19:13:34.887Z | mtYK9 | user8 | play
2023-05-07T19:13:35.121Z | mtYK9 | user5 | play
2023-05-07T19:13:35.117Z | mtYK9 | user6 | play
2023-05-07T19:13:35.118Z | mtYK9 | user4 | play
2023-05-07T19:13:57.507Z | mtYK9 | desmond | pause
2023-05-07T19:13:57.717Z | mtYK9 | user0 | pause
2023-05-07T19:13:57.709Z | mtYK9 | user3 | pause
2023-05-07T19:13:57.699Z | mtYK9 | user2 | pause
2023-05-07T19:13:57.704Z | mtYK9 | user1 | pause
2023-05-07T19:13:57.705Z | mtYK9 | user7 | pause
2023-05-07T19:13:57.706Z | mtYK9 | user4 | pause
2023-05-07T19:13:57.708Z | mtYK9 | user5 | pause
2023-05-07T19:13:57.712Z | mtYK9 | user9 | pause
2023-05-07T19:13:57.711Z | mtYK9 | user6 | pause
2023-05-07T19:13:57.702Z | mtYK9 | user8 | pause
2023-05-07T19:14:07.795Z | mtYK9 | desmond | play
2023-05-07T19:14:07.832Z | mtYK9 | user7 | play
2023-05-07T19:14:07.844Z | mtYK9 | user4 | play
2023-05-07T19:14:07.834Z | mtYK9 | user1 | play
2023-05-07T19:14:07.844Z | mtYK9 | user2 | play
2023-05-07T19:14:07.885Z | mtYK9 | user6 | play
2023-05-07T19:14:07.829Z | mtYK9 | user8 | play
2023-05-07T19:14:07.915Z | mtYK9 | user9 | play
2023-05-07T19:14:07.882Z | mtYK9 | user5 | play
2023-05-07T19:14:07.899Z | mtYK9 | user0 | play
2023-05-07T19:14:08.047Z | mtYK9 | user3 | play
2023-05-07T19:14:19.909Z | mtYK9 | desmond | pause
2023-05-07T19:14:19.946Z | mtYK9 | user1 | pause
2023-05-07T19:14:19.947Z | mtYK9 | user2 | pause
2023-05-07T19:14:19.946Z | mtYK9 | user6 | pause
2023-05-07T19:14:19.938Z | mtYK9 | user8 | pause
2023-05-07T19:14:19.954Z | mtYK9 | user7 | pause
2023-05-07T19:14:19.991Z | mtYK9 | user0 | pause
2023-05-07T19:14:20.056Z | mtYK9 | user5 | pause
2023-05-07T19:14:20.128Z | mtYK9 | user3 | pause
2023-05-07T19:14:20.130Z | mtYK9 | user4 | pause
2023-05-07T19:14:20.339Z | mtYK9 | user9 | pause
2023-05-07T19:14:33.024Z | mtYK9 | desmond | play
2023-05-07T19:14:33.043Z | mtYK9 | user7 | play
2023-05-07T19:14:33.039Z | mtYK9 | user2 | play
2023-05-07T19:14:33.053Z | mtYK9 | user1 | play
2023-05-07T19:14:33.056Z | mtYK9 | user6 | play
2023-05-07T19:14:33.104Z | mtYK9 | user3 | play
2023-05-07T19:14:33.040Z | mtYK9 | user8 | play
2023-05-07T19:14:33.143Z | mtYK9 | user9 | play
2023-05-07T19:14:33.166Z | mtYK9 | user5 | play
2023-05-07T19:14:33.280Z | mtYK9 | user0 | play
2023-05-07T19:14:33.279Z | mtYK9 | user4 | play
2023-05-07T19:14:45.421Z | mtYK9 | desmond | pause
2023-05-07T19:14:45.467Z | mtYK9 | user4 | pause
2023-05-07T19:14:45.471Z | mtYK9 | user9 | pause
2023-05-07T19:14:45.480Z | mtYK9 | user0 | pause
2023-05-07T19:14:45.462Z | mtYK9 | user2 | pause
2023-05-07T19:14:45.488Z | mtYK9 | user3 | pause
2023-05-07T19:14:45.465Z | mtYK9 | user1 | pause
2023-05-07T19:14:45.471Z | mtYK9 | user8 | pause
2023-05-07T19:14:45.470Z | mtYK9 | user5 | pause
2023-05-07T19:14:45.467Z | mtYK9 | user7 | pause
2023-05-07T19:14:45.475Z | mtYK9 | user6 | pause
2023-05-07T19:14:56.675Z | mtYK9 | desmond | play
2023-05-07T19:14:56.691Z | mtYK9 | user1 | play
2023-05-07T19:14:56.711Z | mtYK9 | user9 | play
2023-05-07T19:14:56.690Z | mtYK9 | user5 | play
2023-05-07T19:14:56.707Z | mtYK9 | user6 | play
2023-05-07T19:14:56.703Z | mtYK9 | user4 | play
2023-05-07T19:14:56.691Z | mtYK9 | user3 | play
2023-05-07T19:14:56.782Z | mtYK9 | user2 | play
2023-05-07T19:14:56.787Z | mtYK9 | user0 | play
2023-05-07T19:14:56.967Z | mtYK9 | user8 | play
2023-05-07T19:14:57.164Z | mtYK9 | user7 | play
2023-05-07T19:15:11.588Z | mtYK9 | desmond | pause
2023-05-07T19:15:11.635Z | mtYK9 | user7 | pause
2023-05-07T19:15:11.628Z | mtYK9 | user5 | pause
2023-05-07T19:15:11.630Z | mtYK9 | user4 | pause
2023-05-07T19:15:11.630Z | mtYK9 | user8 | pause
2023-05-07T19:15:11.626Z | mtYK9 | user2 | pause
2023-05-07T19:15:11.629Z | mtYK9 | user0 | pause
