2023-05-07T19:25:05.796Z | aDxcQ | desmond | play
2023-05-07T19:25:05.852Z | aDxcQ | user4 | play
2023-05-07T19:25:05.849Z | aDxcQ | user17 | play
2023-05-07T19:25:05.885Z | aDxcQ | user1 | play
2023-05-07T19:25:05.902Z | aDxcQ | user15 | play
2023-05-07T19:25:05.858Z | aDxcQ | user3 | play
2023-05-07T19:25:05.861Z | aDxcQ | user5 | play
2023-05-07T19:25:05.856Z | aDxcQ | user2 | play
2023-05-07T19:25:05.973Z | aDxcQ | user14 | play
2023-05-07T19:25:05.960Z | aDxcQ | user11 | play
2023-05-07T19:25:05.957Z | aDxcQ | user0 | play
2023-05-07T19:25:05.961Z | aDxcQ | user6 | play
2023-05-07T19:25:05.963Z | aDxcQ | user12 | play
2023-05-07T19:25:06.274Z | aDxcQ | user16 | play
2023-05-07T19:25:06.309Z | aDxcQ | user7 | play
2023-05-07T19:25:49.034Z | aDxcQ | desmond | pause
2023-05-07T19:25:49.057Z | aDxcQ | user7 | pause
2023-05-07T19:25:49.058Z | aDxcQ | user0 | pause
2023-05-07T19:25:49.062Z | aDxcQ | user2 | pause
2023-05-07T19:25:49.058Z | aDxcQ | user5 | pause
2023-05-07T19:25:49.062Z | aDxcQ | user15 | pause
2023-05-07T19:25:49.060Z | aDxcQ | user1 | pause
2023-05-07T19:25:49.062Z | aDxcQ | user4 | pause
2023-05-07T19:25:49.061Z | aDxcQ | user3 | pause
2023-05-07T19:25:49.068Z | aDxcQ | user17 | pause
2023-05-07T19:25:49.135Z | aDxcQ | user12 | pause
2023-05-07T19:25:49.117Z | aDxcQ | user16 | pause
2023-05-07T19:25:49.425Z | aDxcQ | user6 | pause
2023-05-07T19:25:49.476Z | aDxcQ | user14 | pause
2023-05-07T19:25:49.620Z | aDxcQ | user11 | pause
2023-05-07T19:26:00.286Z | aDxcQ | desmond | play
2023-05-07T19:26:00.329Z | aDxcQ | user0 | play
2023-05-07T19:26:00.361Z | aDxcQ | user7 | play
2023-05-07T19:26:00.396Z | aDxcQ | user2 | play
2023-05-07T19:26:00.396Z | aDxcQ | user3 | play
2023-05-07T19:26:00.338Z | aDxcQ | user14 | play
2023-05-07T19:26:00.396Z | aDxcQ | user11 | play
2023-05-07T19:26:00.398Z | aDxcQ | user16 | play
2023-05-07T19:26:00.406Z | aDxcQ | user12 | play
2023-05-07T19:26:00.392Z | aDxcQ | user17 | play
2023-05-07T19:26:00.491Z | aDxcQ | user5 | play
2023-05-07T19:26:00.402Z | aDxcQ | user1 | play
2023-05-07T19:26:00.392Z | aDxcQ | user6 | play
2023-05-07T19:26:00.315Z | aDxcQ | user4 | play
2023-05-07T19:26:00.507Z | aDxcQ | user15 | play
2023-05-07T19:26:49.760Z | aDxcQ | desmond | pause
2023-05-07T19:26:49.789Z | aDxcQ | user16 | pause
2023-05-07T19:26:49.779Z | aDxcQ | user7 | pause
2023-05-07T19:26:49.786Z | aDxcQ | user17 | pause
2023-05-07T19:26:49.778Z | aDxcQ | user4 | pause
2023-05-07T19:26:49.779Z | aDxcQ | user0 | pause
2023-05-07T19:26:49.778Z | aDxcQ | user2 | pause
2023-05-07T19:26:49.784Z | aDxcQ | user15 | pause
2023-05-07T19:26:49.779Z | aDxcQ | user3 | pause
2023-05-07T19:26:49.806Z | aDxcQ | user6 | pause
2023-05-07T19:26:49.785Z | aDxcQ | user1 | pause
2023-05-07T19:26:49.835Z | aDxcQ | user14 | pause
2023-05-07T19:26:49.946Z | aDxcQ | user11 | pause
2023-05-07T19:26:49.807Z | aDxcQ | user12 | pause
2023-05-07T19:26:50.156Z | aDxcQ | user5 | pause
2023-05-07T19:27:15.426Z | aDxcQ | desmond | play
2023-05-07T19:27:15.443Z | aDxcQ | user1 | play
2023-05-07T19:27:15.463Z | aDxcQ | user16 | play
2023-05-07T19:27:15.445Z | aDxcQ | user5 | play
2023-05-07T19:27:15.514Z | aDxcQ | user0 | play
2023-05-07T19:27:15.444Z | aDxcQ | user11 | play
2023-05-07T19:27:15.449Z | aDxcQ | user2 | play
2023-05-07T19:27:15.514Z | aDxcQ | user7 | play
2023-05-07T19:27:15.528Z | aDxcQ | user4 | play
2023-05-07T19:27:15.770Z | aDxcQ | user14 | play
2023-05-07T19:27:15.857Z | aDxcQ | user15 | play
2023-05-07T19:27:15.964Z | aDxcQ | user3 | play
2023-05-07T19:27:15.507Z | aDxcQ | user17 | play
2023-05-07T19:27:15.751Z | aDxcQ | user12 | play
2023-05-07T19:27:15.970Z | aDxcQ | user6 | play
2023-05-07T19:27:49.811Z | aDxcQ | desmond | pause
2023-05-07T19:27:49.854Z | aDxcQ | user16 | pause
2023-05-07T19:27:49.838Z | aDxcQ | user15 | pause
2023-05-07T19:27:49.824Z | aDxcQ | user5 | pause
2023-05-07T19:27:49.831Z | aDxcQ | user2 | pause
2023-05-07T19:27:49.831Z | aDxcQ | user17 | pause
2023-05-07T19:27:49.835Z | aDxcQ | user7 | pause
2023-05-07T19:27:49.870Z | aDxcQ | user11 | pause
