2023-05-07T20:46:44.848Z | Sg3Ii | mansi | 0
2023-05-07T20:47:52.177Z | Sg3Ii | user3 | 0
2023-05-07T20:47:52.207Z | Sg3Ii | user8 | 0
2023-05-07T20:47:53.798Z | Sg3Ii | user15 | 0
2023-05-07T20:47:54.917Z | Sg3Ii | user6 | 0
2023-05-07T20:47:56.018Z | Sg3Ii | user1 | 0
2023-05-07T20:47:56.480Z | Sg3Ii | user13 | 0
2023-05-07T20:47:56.629Z | Sg3Ii | user5 | 0
2023-05-07T20:47:56.897Z | Sg3Ii | user12 | 0
2023-05-07T20:48:02.974Z | Sg3Ii | user16 | 0
2023-05-07T20:48:07.846Z | Sg3Ii | user4 | 0
2023-05-07T20:48:32.214Z | Sg3Ii | user13 | 0
2023-05-07T20:48:33.144Z | Sg3Ii | user15 | 0
2023-05-07T20:48:34.724Z | Sg3Ii | user9 | 0
2023-05-07T20:48:34.969Z | Sg3Ii | user18 | 0
2023-05-07T20:48:34.973Z | Sg3Ii | user14 | 0
2023-05-07T20:48:35.293Z | Sg3Ii | user5 | 0
2023-05-07T20:48:35.538Z | Sg3Ii | user6 | 0
2023-05-07T20:48:35.841Z | Sg3Ii | user11 | 0
2023-05-07T20:48:36.310Z | Sg3Ii | user5 | 13
2023-05-07T20:48:36.546Z | Sg3Ii | user6 | 13
2023-05-07T20:48:36.850Z | Sg3Ii | user11 | 13
2023-05-07T20:48:38.236Z | Sg3Ii | user1 | 0
2023-05-07T20:48:39.454Z | Sg3Ii | user3 | 0
2023-05-07T20:48:39.622Z | Sg3Ii | user0 | 0
2023-05-07T20:48:39.703Z | Sg3Ii | user19 | 0
2023-05-07T20:48:39.947Z | Sg3Ii | user4 | 0
2023-05-07T20:48:40.238Z | Sg3Ii | user2 | 0
2023-05-07T20:48:40.668Z | Sg3Ii | user12 | 0
2023-05-07T20:48:40.850Z | Sg3Ii | user17 | 0
2023-05-07T20:48:40.954Z | Sg3Ii | user4 | 13
2023-05-07T20:48:41.135Z | Sg3Ii | user16 | 0
2023-05-07T20:48:41.451Z | Sg3Ii | user7 | 0
2023-05-07T20:48:42.261Z | Sg3Ii | user10 | 0
2023-05-07T20:48:46.788Z | Sg3Ii | user8 | 0
2023-05-07T20:48:57.777Z | Sg3Ii | mansi | 33
2023-05-07T20:48:57.860Z | Sg3Ii | user0 | 22
2023-05-07T20:48:58.010Z | Sg3Ii | user12 | 22
2023-05-07T20:48:58.207Z | Sg3Ii | user3 | 22
2023-05-07T20:48:57.962Z | Sg3Ii | user2 | 22
2023-05-07T20:48:57.556Z | Sg3Ii | user10 | 22
2023-05-07T20:48:58.362Z | Sg3Ii | user11 | 23
2023-05-07T20:48:58.779Z | Sg3Ii | mansi | 36
2023-05-07T20:48:58.863Z | Sg3Ii | user0 | 22
2023-05-07T20:48:58.911Z | Sg3Ii | user10 | 22
