2023-05-07T20:46:44.849Z | Sg3Ii | mansi | 0
2023-05-07T20:47:52.182Z | Sg3Ii | user3 | 0
2023-05-07T20:47:52.208Z | Sg3Ii | user8 | 0
2023-05-07T20:47:53.800Z | Sg3Ii | user15 | 0
2023-05-07T20:47:54.919Z | Sg3Ii | user6 | 0
2023-05-07T20:47:56.018Z | Sg3Ii | user1 | 0
2023-05-07T20:47:56.481Z | Sg3Ii | user13 | 0
2023-05-07T20:47:56.630Z | Sg3Ii | user5 | 0
2023-05-07T20:47:56.898Z | Sg3Ii | user12 | 0
2023-05-07T20:48:02.975Z | Sg3Ii | user16 | 0
2023-05-07T20:48:07.847Z | Sg3Ii | user4 | 0
2023-05-07T20:48:32.215Z | Sg3Ii | user13 | 0
2023-05-07T20:48:33.145Z | Sg3Ii | user15 | 0
2023-05-07T20:48:34.724Z | Sg3Ii | user9 | 0
2023-05-07T20:48:34.970Z | Sg3Ii | user18 | 0
2023-05-07T20:48:34.974Z | Sg3Ii | user14 | 0
2023-05-07T20:48:35.295Z | Sg3Ii | user5 | 0
2023-05-07T20:48:35.541Z | Sg3Ii | user6 | 0
2023-05-07T20:48:35.841Z | Sg3Ii | user11 | 0
2023-05-07T20:48:36.313Z | Sg3Ii | user5 | 0
2023-05-07T20:48:36.547Z | Sg3Ii | user6 | 0
2023-05-07T20:48:36.851Z | Sg3Ii | user11 | 0
2023-05-07T20:48:38.237Z | Sg3Ii | user1 | 0
2023-05-07T20:48:39.455Z | Sg3Ii | user3 | 0
2023-05-07T20:48:39.623Z | Sg3Ii | user0 | 0
2023-05-07T20:48:39.704Z | Sg3Ii | user19 | 0
2023-05-07T20:48:39.948Z | Sg3Ii | user4 | 0
2023-05-07T20:48:40.242Z | Sg3Ii | user2 | 0
2023-05-07T20:48:40.668Z | Sg3Ii | user12 | 0
2023-05-07T20:48:40.850Z | Sg3Ii | user17 | 0
2023-05-07T20:48:40.955Z | Sg3Ii | user4 | 0
2023-05-07T20:48:41.136Z | Sg3Ii | user16 | 0
2023-05-07T20:48:41.453Z | Sg3Ii | user7 | 0
2023-05-07T20:48:42.262Z | Sg3Ii | user10 | 0
2023-05-07T20:48:46.789Z | Sg3Ii | user8 | 0
2023-05-07T20:48:57.778Z | Sg3Ii | mansi | 0.000013620866297611835
2023-05-07T20:48:57.860Z | Sg3Ii | user0 | 0.0001416573288266743
2023-05-07T20:48:58.010Z | Sg3Ii | user12 | 0.00029830280008938186
2023-05-07T20:48:57.963Z | Sg3Ii | user2 | 0
2023-05-07T20:48:57.557Z | Sg3Ii | user10 | 0.000209763533282889
2023-05-07T20:48:58.363Z | Sg3Ii | user11 | 0.00012531367221022523
2023-05-07T20:48:58.208Z | Sg3Ii | user3 | 0.00009125991059814118
2023-05-07T20:48:58.779Z | Sg3Ii | mansi | 0.00001906920769979574
2023-05-07T20:48:58.863Z | Sg3Ii | user0 | 0.000006810432248995243
2023-05-07T20:48:58.914Z | Sg3Ii | user10 | 0.00002043175218187208
2023-05-07T20:48:58.337Z | Sg3Ii | user14 | 0.00004222466194200123
2023-05-07T20:48:59.007Z | Sg3Ii | user1 | 0.0006783397163057446
2023-05-07T20:48:58.396Z | Sg3Ii | user8 | 0.000032690142832128476
2023-05-07T20:48:59.111Z | Sg3Ii | user6 | 0.000019069485027221975
2023-05-07T20:48:59.112Z | Sg3Ii | user5 | 0.00011579829126161395
2023-05-07T20:48:59.077Z | Sg3Ii | user15 | 0.0008131684781213588
2023-05-07T20:48:59.190Z | Sg3Ii | user12 | 0.000005448347001417574
2023-05-07T20:48:59.160Z | Sg3Ii | user7 | 0.001319265329322405
2023-05-07T20:48:59.211Z | Sg3Ii | user3 | 0.00003813937739343407
2023-05-07T20:48:58.964Z | Sg3Ii | user2 | 0.00001906920203748594
2023-05-07T20:48:59.179Z | Sg3Ii | user13 | 0.00002724172747465187
2023-05-07T20:48:59.313Z | Sg3Ii | user19 | 0.00002860399953707287
